# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-25T08:33:59Z
# git_sha=8a43db6
# tsc_usable=1 tsc_flags_known=1 ns_per_tick=0.355870
# timer_overhead_ns=7.12
# profile=fast metadata_bytes=8
# counters=on
# lock=arena
workload,allocator,rep,ops,ns_total,ops_per_sec,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,timer_overhead_ns,peak_payload_bytes,peak_block_bytes,peak_blocks,util_pct,meta_bytes_per_alloc,quarantined,arena_bytes,seed
seq_lifo,mars,1,400000,35429854,11289913.9,67.3,61.2,150.9,230.6,94176.1,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260810
seq_lifo,mars,2,400000,51319011,7794382.5,95.7,77.2,185.1,324.6,154265.8,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260811
seq_lifo,mars,3,400000,50697521,7889932.1,94.7,76.2,187.9,323.1,388093.6,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260812
seq_lifo,mars,4,400000,37848167,10568543.5,71.9,66.5,153.0,219.2,93177.9,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260813
seq_lifo,mars,5,400000,44514598,8985816.3,83.3,68.0,165.8,307.5,374614.3,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260814
seq_lifo,mars,6,400000,42684171,9371155.4,80.1,64.4,180.8,439.9,72481.9,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260815
seq_lifo,mars,7,400000,57859995,6913239.4,107.5,78.6,197.9,701.8,151084.7,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260816
seq_lifo,mars,8,400000,46156747,8666122.0,86.8,75.8,177.9,317.4,65958.4,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260817
seq_lifo,mars,9,400000,37739719,10598913.0,72.2,69.0,145.2,203.6,36698.4,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260818
seq_lifo,mars,10,400000,37913947,10550207.3,72.6,69.4,132.4,200.7,116367.4,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260819
seq_lifo,mars,11,400000,35468664,11277560.4,67.6,65.8,82.2,175.1,84160.1,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260820
seq_lifo,system,1,400000,10631393,37624420.4,7.5,5.3,31.7,43.4,10298.2,7.12,0,0,0,0.00,0.0,0,67108864,20260810
seq_lifo,system,2,400000,11614957,34438353.9,7.8,6.0,34.9,42.7,32145.0,7.12,0,0,0,0.00,0.0,0,67108864,20260811
seq_lifo,system,3,400000,11462311,34896976.7,8.5,5.7,35.6,102.5,111098.1,7.12,0,0,0,0.00,0.0,0,67108864,20260812
seq_lifo,system,4,400000,11234322,35605174.9,7.5,5.7,31.0,38.4,26249.7,7.12,0,0,0,0.00,0.0,0,67108864,20260813
seq_lifo,system,5,400000,11732010,34094754.4,8.2,6.0,33.8,49.5,15985.0,7.12,0,0,0,0.00,0.0,0,67108864,20260814
seq_lifo,system,6,400000,11111044,36000217.4,8.2,5.7,34.2,60.5,39980.2,7.12,0,0,0,0.00,0.0,0,67108864,20260815
seq_lifo,system,7,400000,10808687,37007270.2,7.5,5.7,31.7,44.1,13239.8,7.12,0,0,0,0.00,0.0,0,67108864,20260816
seq_lifo,system,8,400000,10419803,38388441.7,7.1,5.3,29.5,38.4,13172.9,7.12,0,0,0,0.00,0.0,0,67108864,20260817
seq_lifo,system,9,400000,11004503,36348756.5,7.8,5.7,33.5,44.8,16854.4,7.12,0,0,0,0.00,0.0,0,67108864,20260818
seq_lifo,system,10,400000,10661613,37517775.2,7.5,5.3,31.3,42.7,15326.6,7.12,0,0,0,0.00,0.0,0,67108864,20260819
seq_lifo,system,11,400000,10550575,37912625.6,7.5,5.3,31.0,51.2,70041.7,7.12,0,0,0,0.00,0.0,0,67108864,20260820
seq_fifo,mars,1,400000,39568563,10109035.3,76.2,68.0,150.9,330.2,50826.5,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260810
seq_fifo,mars,2,400000,43227927,9253277.4,81.9,68.0,179.4,391.5,121125.1,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260811
seq_fifo,mars,3,400000,37744769,10597495.0,73.0,67.3,150.9,242.0,69464.1,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260812
seq_fifo,mars,4,400000,36527696,10950594.9,70.1,63.0,141.6,257.7,246031.6,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260813
seq_fifo,mars,5,400000,37421678,10688991.6,72.2,67.3,141.6,240.6,125856.4,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260814
seq_fifo,mars,6,400000,37503111,10665781.8,72.2,66.2,153.0,263.3,153165.5,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260815
seq_fifo,mars,7,400000,35870399,11151255.9,68.7,63.7,142.3,239.1,53959.9,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260816
seq_fifo,mars,8,400000,35916237,11137024.2,68.3,63.0,145.9,223.5,45654.2,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260817
seq_fifo,mars,9,400000,35746850,11189797.1,68.7,64.1,135.2,217.8,52506.9,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260818
seq_fifo,mars,10,400000,38471784,10397230.3,74.0,67.3,154.4,242.0,34793.8,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260819
seq_fifo,mars,11,400000,43284352,9241214.9,81.5,65.8,180.8,297.5,52880.2,7.12,524288,655360,8192,80.00,16.0,0,67108864,20260820
seq_fifo,system,1,400000,15589436,25658401.0,15.3,8.5,61.6,155.2,440814.3,7.12,0,0,0,0.00,0.0,0,67108864,20260810
seq_fifo,system,2,400000,14304462,27963302.6,13.2,8.5,54.4,118.1,93745.1,7.12,0,0,0,0.00,0.0,0,67108864,20260811
seq_fifo,system,3,400000,12665347,31582237.7,10.3,6.8,37.7,114.6,97711.3,7.12,0,0,0,0.00,0.0,0,67108864,20260812
seq_fifo,system,4,400000,12196791,32795511.5,9.3,6.8,37.0,81.9,37826.9,7.12,0,0,0,0.00,0.0,0,67108864,20260813
seq_fifo,system,5,400000,12431255,32176960.4,9.6,6.8,36.3,68.7,42650.3,7.12,0,0,0,0.00,0.0,0,67108864,20260814
seq_fifo,system,6,400000,12196040,32797531.0,9.3,6.8,38.1,82.2,31591.3,7.12,0,0,0,0.00,0.0,0,67108864,20260815
seq_fifo,system,7,400000,12099582,33058993.3,9.6,6.8,34.9,53.7,288505.4,7.12,0,0,0,0.00,0.0,0,67108864,20260816
seq_fifo,system,8,400000,11872381,33691641.1,8.9,6.4,35.6,86.1,27752.2,7.12,0,0,0,0.00,0.0,0,67108864,20260817
seq_fifo,system,9,400000,11803597,33887975.0,8.5,6.4,35.9,85.4,19068.2,7.12,0,0,0,0.00,0.0,0,67108864,20260818
seq_fifo,system,10,400000,11533585,34681324.2,8.2,6.0,34.2,61.9,23485.7,7.12,0,0,0,0.00,0.0,0,67108864,20260819
seq_fifo,system,11,400000,11932966,33520584.9,9.3,6.0,35.9,116.0,185180.6,7.12,0,0,0,0.00,0.0,0,67108864,20260820
random_size,mars,1,400000,52510077,7617585.5,94.3,77.2,236.3,599.3,87341.6,7.12,10256692,10391520,8192,98.70,16.5,0,67108864,20260810
random_size,mars,2,400000,48097982,8316357.2,86.5,72.2,197.9,522.4,63721.8,7.12,9718999,9853504,8192,98.63,16.4,0,67108864,20260811
random_size,mars,3,400000,49063812,8152648.2,88.3,74.4,192.2,493.9,91386.1,7.12,12544010,12679856,8192,98.93,16.6,0,67108864,20260812
random_size,mars,4,400000,46253011,8648085.6,83.6,73.0,161.6,451.2,69853.1,7.12,8830988,8966144,8192,98.49,16.5,0,67108864,20260813
random_size,mars,5,400000,45743984,8744319.3,81.5,71.5,148.0,419.9,36094.9,7.12,7980160,8114528,8192,98.34,16.4,0,67108864,20260814
random_size,mars,6,400000,45012467,8886427.0,81.5,70.8,154.4,434.2,120757.8,7.12,9571333,9705792,8192,98.61,16.4,0,67108864,20260815
random_size,mars,7,400000,47242377,8466974.5,84.7,74.0,160.1,422.8,65929.9,7.12,11512998,11648016,8192,98.84,16.5,0,67108864,20260816
random_size,mars,8,400000,45701634,8752422.3,82.2,70.1,158.7,462.6,73816.7,7.12,10709349,10843968,8192,98.76,16.4,0,67108864,20260817
random_size,mars,9,400000,47106581,8491382.6,85.1,73.0,159.4,445.5,203706.5,7.12,9442413,9577168,8192,98.59,16.4,0,67108864,20260818
random_size,mars,10,400000,61690711,6483958.3,111.7,84.7,304.6,659.1,124432.5,7.12,9856665,9990928,8192,98.66,16.4,0,67108864,20260819
