# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-25T08:31:29Z
# git_sha=8a43db6
# tsc_usable=1 tsc_flags_known=1 ns_per_tick=0.356900
# timer_overhead_ns=9.28
# profile=hardened metadata_bytes=24
# counters=off
# lock=arena
workload,allocator,rep,ops,ns_total,ops_per_sec,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,timer_overhead_ns,peak_payload_bytes,peak_block_bytes,peak_blocks,util_pct,meta_bytes_per_alloc,quarantined,arena_bytes,seed
seq_lifo,mars,1,400000,75249327,5315662.2,135.3,121.3,267.7,715.9,348533.9,9.28,0,0,0,0.00,0.0,0,67108864,20260810
seq_lifo,mars,2,400000,92747310,4312793.5,173.5,132.8,379.0,1172.8,378966.4,9.28,0,0,0,0.00,0.0,0,67108864,20260811
seq_lifo,mars,3,400000,75191942,5319719.0,134.9,127.1,284.8,510.4,123301.2,9.28,0,0,0,0.00,0.0,0,67108864,20260812
seq_lifo,mars,4,400000,66972379,5972611.5,118.5,115.6,210.6,393.3,310690.6,9.28,0,0,0,0.00,0.0,0,67108864,20260813
seq_lifo,mars,5,400000,71133679,5623215.4,127.8,114.2,269.1,464.7,657681.6,9.28,0,0,0,0.00,0.0,0,67108864,20260814
seq_lifo,mars,6,400000,74902680,5340262.9,135.3,120.6,289.1,533.2,158375.6,9.28,0,0,0,0.00,0.0,0,67108864,20260815
seq_lifo,mars,7,400000,65665533,6091475.7,115.6,116.3,193.4,384.7,37859.3,9.28,0,0,0,0.00,0.0,0,67108864,20260816
seq_lifo,mars,8,400000,66797640,5988235.5,117.8,114.2,262.0,381.9,178608.6,9.28,0,0,0,0.00,0.0,0,67108864,20260817
seq_lifo,mars,9,400000,62339809,6416445.7,108.9,108.5,164.9,404.7,234151.6,9.28,0,0,0,0.00,0.0,0,67108864,20260818
seq_lifo,mars,10,400000,92580675,4320556.1,173.5,122.8,307.6,864.4,939413.0,9.28,0,0,0,0.00,0.0,0,67108864,20260819
seq_lifo,mars,11,400000,133440858,2997582.6,258.4,224.8,379.0,1715.3,2550000.3,9.28,0,0,0,0.00,0.0,0,67108864,20260820
seq_lifo,system,1,400000,17812805,22455755.8,15.7,10.4,78.9,147.0,82583.2,9.28,0,0,0,0.00,0.0,0,67108864,20260810
seq_lifo,system,2,400000,17948755,22285668.3,15.3,9.6,75.7,149.2,117955.6,9.28,0,0,0,0.00,0.0,0,67108864,20260811
seq_lifo,system,3,400000,18300346,21857510.2,15.7,10.4,82.1,155.6,35069.7,9.28,0,0,0,0.00,0.0,0,67108864,20260812
seq_lifo,system,4,400000,21107370,18950726.7,21.4,12.5,95.6,216.3,534271.6,9.28,0,0,0,0.00,0.0,0,67108864,20260813
seq_lifo,system,5,400000,19472805,20541468.0,17.8,12.5,89.2,147.0,120361.1,9.28,0,0,0,0.00,0.0,0,67108864,20260814
seq_lifo,system,6,400000,18455820,21673380.0,16.1,10.7,79.6,169.9,52766.3,9.28,0,0,0,0.00,0.0,0,67108864,20260815
seq_lifo,system,7,400000,17408171,22977715.5,13.9,9.6,61.7,163.5,46220.0,9.28,0,0,0,0.00,0.0,0,67108864,20260816
seq_lifo,system,8,400000,16338998,24481305.4,13.6,9.6,63.2,136.3,111278.3,9.28,0,0,0,0.00,0.0,0,67108864,20260817
seq_lifo,system,9,400000,18326929,21825806.2,16.4,11.8,83.5,138.5,49890.7,9.28,0,0,0,0.00,0.0,0,67108864,20260818
