# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-25T08:32:08Z
# git_sha=8a43db6
# tsc_usable=1 tsc_flags_known=1 ns_per_tick=0.360672
# timer_overhead_ns=7.21
# profile=hardened metadata_bytes=24
# counters=on
# lock=arena
workload,allocator,rep,ops,ns_total,ops_per_sec,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,timer_overhead_ns,peak_payload_bytes,peak_block_bytes,peak_blocks,util_pct,meta_bytes_per_alloc,quarantined,arena_bytes,seed
seq_lifo,mars,1,400000,67188479,5953401.6,123.7,111.8,264.0,541.0,316738.0,7.21,524288,786432,8192,66.67,32.0,0,67108864,20260810
seq_lifo,mars,2,400000,82314273,4859424.6,155.4,129.1,330.4,1198.9,108258.9,7.21,524288,786432,8192,66.67,32.0,0,67108864,20260811
seq_lifo,mars,3,400000,72033022,5553008.7,133.8,126.2,266.9,555.4,127073.0,7.21,524288,786432,8192,66.67,32.0,0,67108864,20260812
seq_lifo,mars,4,400000,64728153,6179691.2,117.9,110.4,217.8,468.9,35198.3,7.21,524288,786432,8192,66.67,32.0,0,67108864,20260813
seq_lifo,mars,5,400000,68306285,5855976.5,126.6,113.3,262.6,440.0,270039.3,7.21,524288,786432,8192,66.67,32.0,0,67108864,20260814
seq_lifo,mars,6,400000,63872768,6262449.8,116.5,110.4,193.3,425.6,146746.2,7.21,524288,786432,8192,66.67,32.0,0,67108864,20260815
seq_lifo,mars,7,400000,64432636,6208034.1,117.6,109.6,187.5,391.0,45755.6,7.21,524288,786432,8192,66.67,32.0,0,67108864,20260816
seq_lifo,mars,8,400000,63866847,6263030.3,116.9,114.7,167.4,416.9,148354.1,7.21,524288,786432,8192,66.67,32.0,0,67108864,20260817
seq_lifo,mars,9,400000,64486846,6202815.4,117.6,110.4,204.9,442.9,234264.7,7.21,524288,786432,8192,66.67,32.0,0,67108864,20260818
seq_lifo,mars,10,400000,66862889,5982391.8,122.6,116.1,203.4,442.9,146118.3,7.21,524288,786432,8192,66.67,32.0,0,67108864,20260819
seq_lifo,mars,11,400000,65168736,6137912.5,120.1,114.0,248.1,480.4,156893.3,7.21,524288,786432,8192,66.67,32.0,0,67108864,20260820
seq_lifo,system,1,400000,12350901,32386301.2,10.1,6.5,33.2,132.7,723376.8,7.21,0,0,0,0.00,0.0,0,67108864,20260810
seq_lifo,system,2,400000,12107486,33037411.7,9.4,6.9,37.1,87.3,19143.4,7.21,0,0,0,0.00,0.0,0,67108864,20260811
seq_lifo,system,3,400000,10934077,36582877.5,7.6,5.4,32.5,49.1,35656.0,7.21,0,0,0,0.00,0.0,0,67108864,20260812
seq_lifo,system,4,400000,10758482,37179966.5,7.6,5.4,31.7,46.2,30920.0,7.21,0,0,0,0.00,0.0,0,67108864,20260813
seq_lifo,system,5,400000,11203868,35701955.8,7.9,6.1,32.8,46.2,9985.2,7.21,0,0,0,0.00,0.0,0,67108864,20260814
seq_lifo,system,6,400000,11179332,35780313.2,7.9,6.1,33.2,41.8,20657.5,7.21,0,0,0,0.00,0.0,0,67108864,20260815
seq_lifo,system,7,400000,12498768,32003154.2,9.4,6.9,35.0,83.0,44938.3,7.21,0,0,0,0.00,0.0,0,67108864,20260816
seq_lifo,system,8,400000,11926218,33539551.3,8.3,6.1,34.3,51.2,39200.3,7.21,0,0,0,0.00,0.0,0,67108864,20260817
seq_lifo,system,9,400000,11272131,35485748.0,8.3,5.8,36.1,81.5,23757.1,7.21,0,0,0,0.00,0.0,0,67108864,20260818
seq_lifo,system,10,400000,11375226,35164136.5,8.3,6.5,33.5,42.6,22711.1,7.21,0,0,0,0.00,0.0,0,67108864,20260819
seq_lifo,system,11,400000,11662628,34297587.1,7.9,6.1,33.9,41.8,25045.4,7.21,0,0,0,0.00,0.0,0,67108864,20260820
seq_fifo,mars,1,400000,70561034,5668851.2,133.4,127.7,229.4,440.0,30979.9,7.21,524288,786432,8192,66.67,32.0,0,67108864,20260810
