# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-25T08:31:08Z
# git_sha=8a43db6
# tsc_usable=1 tsc_flags_known=1 ns_per_tick=0.357064
# timer_overhead_ns=8.57
# profile=hardened metadata_bytes=24
# counters=on
# lock=arena
workload,allocator,rep,ops,ns_total,ops_per_sec,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,timer_overhead_ns,peak_payload_bytes,peak_block_bytes,peak_blocks,util_pct,meta_bytes_per_alloc,quarantined,arena_bytes,seed
seq_lifo,mars,1,400000,71765986,5573671.1,130.3,122.8,267.1,531.3,65105.0,8.57,524288,786432,8192,66.67,32.0,0,67108864,20260810
seq_lifo,mars,2,400000,81415158,4913090.0,153.5,125.7,311.4,628.4,197144.5,8.57,524288,786432,8192,66.67,32.0,0,67108864,20260811
seq_lifo,mars,3,400000,104339313,3833646.1,200.7,160.7,344.2,1853.9,473583.8,8.57,524288,786432,8192,66.67,32.0,0,67108864,20260812
seq_lifo,mars,4,400000,73810838,5419258.3,135.0,130.0,259.9,702.7,71821.7,8.57,524288,786432,8192,66.67,32.0,0,67108864,20260813
seq_lifo,mars,5,400000,79502973,5031258.4,147.1,125.7,301.4,522.7,692127.1,8.57,524288,786432,8192,66.67,32.0,0,67108864,20260814
seq_lifo,mars,6,400000,73574168,5436690.8,134.6,120.7,275.7,488.5,618960.0,8.57,524288,786432,8192,66.67,32.0,0,67108864,20260815
seq_lifo,mars,7,400000,83570488,4786378.7,156.4,127.8,294.2,968.4,300292.9,8.57,524288,786432,8192,66.67,32.0,0,67108864,20260816
seq_lifo,mars,8,400000,84483064,4734676.8,158.9,129.3,299.9,597.0,161714.1,8.57,524288,786432,8192,66.67,32.0,0,67108864,20260817
seq_lifo,mars,9,400000,81322724,4918674.4,151.0,129.3,294.2,637.0,61761.4,8.57,524288,786432,8192,66.67,32.0,0,67108864,20260818
seq_lifo,mars,10,400000,71492413,5594999.3,130.3,120.0,274.2,657.0,455090.0,8.57,524288,786432,8192,66.67,32.0,0,67108864,20260819
seq_lifo,mars,11,400000,67418534,5933086.6,121.0,118.5,215.7,385.6,602185.1,8.57,524288,786432,8192,66.67,32.0,0,67108864,20260820
seq_lifo,system,1,400000,12616208,31705247.7,9.3,5.7,44.3,99.3,16334.6,8.57,0,0,0,0.00,0.0,0,67108864,20260810
seq_lifo,system,2,400000,16176072,24727882.0,14.6,8.2,64.6,145.7,797657.9,8.57,0,0,0,0.00,0.0,0,67108864,20260811
seq_lifo,system,3,400000,13972615,28627425.9,10.7,6.4,58.6,103.5,83360.2,8.57,0,0,0,0.00,0.0,0,67108864,20260812
seq_lifo,system,4,400000,13741136,29109674.8,10.0,6.4,48.6,177.1,94302.8,8.57,0,0,0,0.00,0.0,0,67108864,20260813
seq_lifo,system,5,400000,15120350,26454414.1,12.1,7.5,61.1,204.2,52464.9,8.57,0,0,0,0.00,0.0,0,67108864,20260814
