# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-22T14:37:53Z
# git_sha=415e85c
# profile=fast metadata_bytes=8
# trials_per_cell=10000 base_seed=20260809 arena_bytes=262144
# latency_window_ops=4096
profile,scrub_interval,scrub_budget,target,bits,trials,discarded,detected_no_loss,detected_quarantined,detected_fatal,undetected_benign,undetected_silent,crash,timeout,detection_pct,detection_lo,detection_hi,silent_pct,silent_lo,silent_hi,latency_n,latency_mean_ops,latency_max_ops
fast,1024,16,alloc_hdr,1,10000,0,1757,7872,0,371,0,0,0,100.0000,99.9601,100.0000,0.0000,0.0000,0.0384,8502,947.7741,4095
fast,1024,16,alloc_hdr,2,10000,0,855,8954,0,182,9,0,0,99.9083,99.8259,99.9518,0.0900,0.0474,0.1710,9646,862.9548,4095
fast,1024,16,alloc_hdr,4,10000,0,706,9277,0,15,2,0,0,99.9800,99.9270,99.9945,0.0200,0.0055,0.0729,9961,797.9151,3071
fast,1024,16,alloc_hdr,8,10000,0,603,9396,0,0,1,0,0,99.9900,99.9434,99.9982,0.0100,0.0018,0.0566,9997,769.8671,3071
fast,1024,16,free_hdr,1,10000,0,385,8360,0,1255,0,0,0,100.0000,99.9561,100.0000,0.0000,0.0000,0.0384,8608,12.8958,2047
fast,1024,16,free_hdr,2,10000,0,185,9484,0,331,0,0,0,100.0000,99.9603,100.0000,0.0000,0.0000,0.0384,9621,11.0563,2047
fast,1024,16,free_hdr,4,10000,0,43,9938,0,19,0,0,0,100.0000,99.9615,100.0000,0.0000,0.0000,0.0384,9978,9.9543,2047
fast,1024,16,free_hdr,8,10000,0,2,9998,0,0,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,10000,9.5416,1553
fast,1024,16,links,1,10000,0,9708,0,0,292,0,0,0,100.0000,99.9604,100.0000,0.0000,0.0000,0.0384,9707,16.4892,2445
fast,1024,16,links,2,10000,0,9766,0,0,234,0,0,0,100.0000,99.9607,100.0000,0.0000,0.0000,0.0384,9764,16.2090,2368
fast,1024,16,links,4,10000,0,9958,0,0,42,0,0,0,100.0000,99.9614,100.0000,0.0000,0.0000,0.0384,9958,13.7338,3000
fast,1024,16,links,8,10000,0,9995,0,0,5,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,9995,13.6259,2928
fast,1024,16,free_footer,1,10000,0,19,0,0,9981,0,0,0,100.0000,83.1821,100.0000,0.0000,0.0000,0.0384,19,1508.0526,2047
fast,1024,16,free_footer,2,10000,0,21,0,0,9979,0,0,0,100.0000,84.5361,100.0000,0.0000,0.0000,0.0384,21,1559.3810,2047
fast,1024,16,free_footer,4,10000,0,35,0,0,9965,0,0,0,100.0000,90.1099,100.0000,0.0000,0.0000,0.0384,35,1637.4000,2047
fast,1024,16,free_footer,8,10000,0,26,0,0,9974,0,0,0,100.0000,87.1271,100.0000,0.0000,0.0000,0.0384,26,1416.8462,2047
fast,1024,16,payload,1,10000,0,0,0,0,0,10000,0,0,0.0000,0.0000,0.0384,100.0000,99.9616,100.0000,0,0.0000,0
fast,1024,16,payload,2,10000,0,0,0,0,20,9980,0,0,0.0000,0.0000,0.0385,99.8000,99.6913,99.8705,0,0.0000,0
fast,1024,16,payload,4,10000,0,0,0,0,1,9999,0,0,0.0000,0.0000,0.0384,99.9900,99.9434,99.9982,0,0.0000,0
fast,1024,16,payload,8,10000,0,0,0,0,0,10000,0,0,0.0000,0.0000,0.0384,100.0000,99.9616,100.0000,0,0.0000,0
fast,1024,16,any,1,10000,0,7,7,0,9918,68,0,0,17.0732,10.4516,26.6417,0.6800,0.5368,0.8611,12,357.0833,2047
fast,1024,16,any,2,10000,0,17,6,0,9818,159,0,0,12.6374,8.5705,18.2488,1.5900,1.3628,1.8544,21,265.8095,2047
fast,1024,16,any,4,10000,0,20,26,0,9672,282,0,0,14.0244,10.6817,18.2000,2.8200,2.5132,3.1630,46,338.0652,2047
fast,1024,16,any,8,10000,0,53,39,0,9386,522,0,0,14.9837,12.3787,18.0241,5.2200,4.8010,5.6734,90,339.8222,2047
