# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-17T19:23:29Z
# git_sha=f182d28
# profile=hardened metadata_bytes=24
# trials_per_cell=10000 base_seed=20260809 arena_bytes=262144
# latency_window_ops=4096
profile,scrub_interval,scrub_budget,target,bits,trials,discarded,detected_no_loss,detected_quarantined,detected_fatal,undetected_benign,undetected_silent,crash,timeout,detection_pct,detection_lo,detection_hi,silent_pct,silent_lo,silent_hi,latency_n,latency_mean_ops,latency_max_ops
hardened,1024,16,alloc_hdr,1,10000,0,188,9812,0,0,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,10000,781.8797,2047
hardened,1024,16,alloc_hdr,2,10000,0,296,9615,0,89,0,0,0,100.0000,99.9613,100.0000,0.0000,0.0000,0.0384,9911,783.6727,2047
hardened,1024,16,alloc_hdr,4,10000,0,508,9490,0,2,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,9998,783.2583,2047
hardened,1024,16,alloc_hdr,8,10000,0,549,9451,0,0,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,10000,766.8926,2047
hardened,1024,16,free_hdr,1,10000,0,0,10000,0,0,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,10000,10.1137,1152
hardened,1024,16,free_hdr,2,10000,0,0,9903,0,97,0,0,0,100.0000,99.9612,100.0000,0.0000,0.0000,0.0384,9903,10.9580,1442
hardened,1024,16,free_hdr,4,10000,0,0,9999,0,1,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,9999,10.2505,1837
hardened,1024,16,free_hdr,8,10000,0,0,10000,0,0,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,10000,9.7558,2047
hardened,1024,16,links,1,10000,0,9767,0,0,233,0,0,0,100.0000,99.9607,100.0000,0.0000,0.0000,0.0384,9766,15.9638,2445
hardened,1024,16,links,2,10000,0,9806,0,0,194,0,0,0,100.0000,99.9608,100.0000,0.0000,0.0000,0.0384,9804,14.5565,2238
hardened,1024,16,links,4,10000,0,9966,0,0,34,0,0,0,100.0000,99.9615,100.0000,0.0000,0.0000,0.0384,9966,12.8086,1654
hardened,1024,16,links,8,10000,0,9997,0,0,3,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,9997,12.7516,2577
hardened,1024,16,free_footer,1,10000,0,18,0,0,9982,0,0,0,100.0000,82.4121,100.0000,0.0000,0.0000,0.0384,18,1535.0000,2047
hardened,1024,16,free_footer,2,10000,0,19,0,0,9981,0,0,0,100.0000,83.1821,100.0000,0.0000,0.0000,0.0384,19,1561.9474,2047
hardened,1024,16,free_footer,4,10000,0,24,0,0,9976,0,0,0,100.0000,86.2024,100.0000,0.0000,0.0000,0.0384,24,1705.6667,2047
hardened,1024,16,free_footer,8,10000,0,20,0,0,9980,0,0,0,100.0000,83.8875,100.0000,0.0000,0.0000,0.0384,20,1432.6000,2047
hardened,1024,16,payload,1,10000,0,0,10000,0,0,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,10000,1371.5696,2047
hardened,1024,16,payload,2,10000,0,0,9980,0,20,0,0,0,100.0000,99.9615,100.0000,0.0000,0.0000,0.0384,9980,1368.3691,2047
hardened,1024,16,payload,4,10000,0,0,9999,0,1,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,9999,1374.3695,2047
hardened,1024,16,payload,8,10000,0,0,10000,0,0,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,10000,1360.9200,2047
hardened,1024,16,canary,1,10000,0,0,10000,0,0,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,10000,1364.7088,2047
hardened,1024,16,canary,2,10000,0,0,9836,0,164,0,0,0,100.0000,99.9610,100.0000,0.0000,0.0000,0.0384,9836,1371.5514,2047
hardened,1024,16,canary,4,10000,0,0,9998,0,2,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,9998,1367.6449,2047
hardened,1024,16,canary,8,10000,0,0,9999,0,1,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,9999,1359.5201,2047
hardened,1024,16,any,1,10000,0,11,94,0,9895,0,0,0,100.0000,96.4706,100.0000,0.0000,0.0000,0.0384,105,1005.2476,2047
hardened,1024,16,any,2,10000,0,7,187,0,9806,0,0,0,100.0000,98.0583,100.0000,0.0000,0.0000,0.0384,194,1246.6134,2047
hardened,1024,16,any,4,10000,0,17,333,0,9650,0,0,0,100.0000,98.9144,100.0000,0.0000,0.0000,0.0384,350,1178.0000,2047
hardened,1024,16,any,8,10000,0,31,664,0,9305,0,0,0,100.0000,99.4503,100.0000,0.0000,0.0000,0.0384,695,1171.5842,2047
