# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-24T19:49:30Z
# git_sha=971fd2e
# profile=paranoid metadata_bytes=40
# trials_per_cell=10000 base_seed=20260809 arena_bytes=262144
# latency_window_ops=4096
profile,scrub_interval,scrub_budget,target,bits,trials,discarded,detected_no_loss,detected_quarantined,detected_fatal,undetected_benign,undetected_silent,crash,timeout,detection_pct,detection_lo,detection_hi,silent_pct,silent_lo,silent_hi,latency_n,latency_mean_ops,latency_max_ops
paranoid,1024,16,alloc_hdr,1,10000,0,10000,0,0,0,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,10000,781.2783,2047
paranoid,1024,16,alloc_hdr,2,10000,0,9911,0,0,89,0,0,0,100.0000,99.9613,100.0000,0.0000,0.0000,0.0384,9911,783.4145,2047
paranoid,1024,16,alloc_hdr,4,10000,0,9998,0,0,2,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,9998,782.8730,2047
paranoid,1024,16,alloc_hdr,8,10000,0,10000,0,0,0,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,10000,766.1620,2047
paranoid,1024,16,free_hdr,1,10000,0,1287,8713,0,0,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,10000,10.3798,1208
paranoid,1024,16,free_hdr,2,10000,0,1217,8686,0,97,0,0,0,100.0000,99.9612,100.0000,0.0000,0.0000,0.0384,9903,11.0316,1442
paranoid,1024,16,free_hdr,4,10000,0,1252,8747,0,1,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,9999,10.0264,1523
paranoid,1024,16,free_hdr,8,10000,0,1266,8734,0,0,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,10000,9.9084,1553
paranoid,1024,16,links,1,10000,0,9833,0,0,167,0,0,0,100.0000,99.9609,100.0000,0.0000,0.0000,0.0384,9832,15.0900,2790
paranoid,1024,16,links,2,10000,0,9833,0,0,167,0,0,0,100.0000,99.9609,100.0000,0.0000,0.0000,0.0384,9831,14.3944,2238
paranoid,1024,16,links,4,10000,0,9979,0,0,21,0,0,0,100.0000,99.9615,100.0000,0.0000,0.0000,0.0384,9979,12.0702,1654
paranoid,1024,16,links,8,10000,0,9998,0,0,2,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,9998,12.2039,2577
paranoid,1024,16,free_footer,1,10000,0,14,0,0,9986,0,0,0,100.0000,78.4689,100.0000,0.0000,0.0000,0.0384,14,1608.1429,2047
paranoid,1024,16,free_footer,2,10000,0,15,0,0,9985,0,0,0,100.0000,79.6117,100.0000,0.0000,0.0000,0.0384,15,1637.4000,2047
paranoid,1024,16,free_footer,4,10000,0,20,0,0,9980,0,0,0,100.0000,83.8875,100.0000,0.0000,0.0000,0.0384,20,1739.8000,2047
paranoid,1024,16,free_footer,8,10000,0,20,0,0,9980,0,0,0,100.0000,83.8875,100.0000,0.0000,0.0000,0.0384,20,1432.6000,2047
paranoid,1024,16,payload,1,10000,0,0,10000,0,0,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,10000,1372.5936,2047
paranoid,1024,16,payload,2,10000,0,0,9980,0,20,0,0,0,100.0000,99.9615,100.0000,0.0000,0.0000,0.0384,9980,1367.5483,2047
paranoid,1024,16,payload,4,10000,0,0,9999,0,1,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,9999,1374.9840,2047
paranoid,1024,16,payload,8,10000,0,0,10000,0,0,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,10000,1360.9200,2047
paranoid,1024,16,canary,1,10000,0,0,10000,0,0,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,10000,1364.2992,2047
paranoid,1024,16,canary,2,10000,0,0,9836,0,164,0,0,0,100.0000,99.9610,100.0000,0.0000,0.0000,0.0384,9836,1371.0309,2047
paranoid,1024,16,canary,4,10000,0,0,9998,0,2,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,9998,1367.1328,2047
paranoid,1024,16,canary,8,10000,0,0,9999,0,1,0,0,0,100.0000,99.9616,100.0000,0.0000,0.0000,0.0384,9999,1357.8815,2047
paranoid,1024,16,any,1,10000,0,16,84,0,9900,0,0,0,100.0000,96.3007,100.0000,0.0000,0.0000,0.0384,100,1148.8200,2047
paranoid,1024,16,any,2,10000,0,42,157,0,9801,0,0,0,100.0000,98.1062,100.0000,0.0000,0.0000,0.0384,199,1150.0000,2047
paranoid,1024,16,any,4,10000,0,46,301,0,9653,0,0,0,100.0000,98.9051,100.0000,0.0000,0.0000,0.0384,347,1188.9914,2047
paranoid,1024,16,any,8,10000,0,113,604,0,9283,0,0,0,100.0000,99.4671,100.0000,0.0000,0.0000,0.0384,717,1170.3208,2047
