# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-16T08:16:47Z
# git_sha=88f02ec
# tsc_usable=1 tsc_flags_known=1 ns_per_tick=0.356552
# timer_overhead_ns=11.77
# profile=hardened metadata_bytes=24
# counters=on
workload,allocator,rep,ops,ns_total,ops_per_sec,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,timer_overhead_ns,peak_payload_bytes,peak_block_bytes,peak_blocks,util_pct,meta_bytes_per_alloc,quarantined,arena_bytes,seed
seq_lifo,mars,1,40000,11172035,3580368.3,202.9,167.2,513.1,1745.3,174015.1,11.77,524288,786432,8192,66.67,32.0,0,33554432,20260810
seq_lifo,mars,2,40000,6462983,6189092.6,104.8,104.5,233.5,695.6,96641.6,11.77,524288,786432,8192,66.67,32.0,0,33554432,20260811
seq_lifo,mars,3,40000,7695688,5197715.9,128.4,105.9,575.8,1408.7,21868.0,11.77,524288,786432,8192,66.67,32.0,0,33554432,20260812
seq_lifo,mars,4,40000,7351076,5441380.3,110.9,105.9,227.8,715.6,67539.5,11.77,524288,786432,8192,66.67,32.0,0,33554432,20260813
seq_lifo,mars,5,40000,7085641,5645219.7,118.7,109.5,254.9,535.9,24017.3,11.77,524288,786432,8192,66.67,32.0,0,33554432,20260814
seq_lifo,mars,6,40000,9783446,4088538.9,158.3,107.3,718.5,1169.1,378171.6,11.77,524288,786432,8192,66.67,32.0,0,33554432,20260815
seq_lifo,mars,7,40000,9724138,4113475.1,170.1,166.5,263.5,769.8,20675.7,11.77,524288,786432,8192,66.67,32.0,0,33554432,20260816
seq_lifo,mars,8,40000,5837344,6852431.5,99.1,104.5,186.5,353.3,36774.4,11.77,524288,786432,8192,66.67,32.0,0,33554432,20260817
seq_lifo,mars,9,40000,9166691,4363624.8,162.2,140.1,464.6,1226.2,48823.7,11.77,524288,786432,8192,66.67,32.0,0,33554432,20260818
seq_lifo,system,1,40000,2024494,19758023.5,16.0,6.8,41.7,1203.4,35814.2,11.77,0,0,0,0.00,0.0,0,33554432,20260810
seq_lifo,system,2,40000,1676819,23854691.5,11.1,6.4,38.9,1026.5,17440.0,11.77,0,0,0,0.00,0.0,0,33554432,20260811
seq_lifo,system,3,40000,1590225,25153673.2,9.6,6.1,39.6,940.9,7663.7,11.77,0,0,0,0.00,0.0,0,33554432,20260812
seq_lifo,system,4,40000,1632688,24499475.7,10.3,6.1,39.6,992.3,10709.4,11.77,0,0,0,0.00,0.0,0,33554432,20260813
seq_lifo,system,5,40000,2164870,18476860.0,17.8,10.0,76.3,1032.2,77428.1,11.77,0,0,0,0.00,0.0,0,33554432,20260814
seq_lifo,system,6,40000,2600900,15379291.8,26.4,9.3,215.0,1733.9,97571.1,11.77,0,0,0,0.00,0.0,0,33554432,20260815
seq_lifo,system,7,40000,2320997,17233973.2,18.5,12.1,90.2,1134.9,16822.8,11.77,0,0,0,0.00,0.0,0,33554432,20260816
seq_lifo,system,8,40000,1813481,22057027.3,12.8,7.8,43.1,1129.2,16024.5,11.77,0,0,0,0.00,0.0,0,33554432,20260817
seq_lifo,system,9,40000,1954318,20467498.1,14.6,7.8,62.0,1026.5,21125.3,11.77,0,0,0,0.00,0.0,0,33554432,20260818
seq_fifo,mars,1,40000,8923036,4482779.2,149.4,110.2,293.4,872.5,486343.7,11.77,524288,786432,8192,66.67,32.0,0,33554432,20260810
seq_fifo,mars,2,40000,8374051,4776660.7,144.0,110.2,337.7,1277.5,88491.2,11.77,524288,786432,8192,66.67,32.0,0,33554432,20260811
seq_fifo,mars,3,40000,9335366,4284781.1,163.7,146.5,304.9,712.7,91576.0,11.77,524288,786432,8192,66.67,32.0,0,33554432,20260812
seq_fifo,mars,4,40000,15434070,2591669.0,317.0,111.6,413.2,1157.7,3265517.7,11.77,524288,786432,8192,66.67,32.0,0,33554432,20260813
seq_fifo,mars,5,40000,7613957,5253510.1,129.1,112.3,243.5,698.5,102934.4,11.77,524288,786432,8192,66.67,32.0,0,33554432,20260814
seq_fifo,mars,6,40000,10710810,3734544.8,199.0,114.5,353.3,1471.5,683328.2,11.77,524288,786432,8192,66.67,32.0,0,33554432,20260815
seq_fifo,mars,7,40000,9151356,4370936.9,162.2,115.2,418.9,1032.2,164815.0,11.77,524288,786432,8192,66.67,32.0,0,33554432,20260816
seq_fifo,mars,8,40000,10891525,3672580.3,192.9,182.2,367.6,1026.5,41990.4,11.77,524288,786432,8192,66.67,32.0,0,33554432,20260817
seq_fifo,mars,9,40000,9670518,4136283.1,171.9,113.7,304.9,1448.7,199341.7,11.77,524288,786432,8192,66.67,32.0,0,33554432,20260818
seq_fifo,system,1,40000,2261545,17687023.7,18.5,10.7,78.1,1471.5,34112.0,11.77,0,0,0,0.00,0.0,0,33554432,20260810
seq_fifo,system,2,40000,2191187,18254945.8,19.3,11.4,66.3,1260.4,20641.9,11.77,0,0,0,0.00,0.0,0,33554432,20260811
seq_fifo,system,3,40000,2214569,18062205.3,19.6,10.7,69.9,1408.7,17012.9,11.77,0,0,0,0.00,0.0,0,33554432,20260812
seq_fifo,system,4,40000,2082788,19205027.1,17.1,11.4,71.3,1032.2,16526.2,11.77,0,0,0,0.00,0.0,0,33554432,20260813
seq_fifo,system,5,40000,2171371,18421541.0,17.1,10.7,77.4,1174.8,12486.8,11.77,0,0,0,0.00,0.0,0,33554432,20260814
seq_fifo,system,6,40000,3163111,12645778.2,41.0,9.3,155.8,2042.0,226041.3,11.77,0,0,0,0.00,0.0,0,33554432,20260815
seq_fifo,system,7,40000,2717679,14718441.7,25.3,15.7,96.6,1414.4,59165.1,11.77,0,0,0,0.00,0.0,0,33554432,20260816
seq_fifo,system,8,40000,2028931,19714815.3,15.7,10.7,63.5,1009.4,22891.7,11.77,0,0,0,0.00,0.0,0,33554432,20260817
seq_fifo,system,9,40000,2434979,16427246.4,22.8,14.3,78.8,1791.0,23796.3,11.77,0,0,0,0.00,0.0,0,33554432,20260818
random_size,mars,1,40000,8673742,4611619.8,152.6,133.0,343.4,650.0,83734.8,11.77,6887440,7153680,8192,96.28,32.5,0,33554432,20260810
random_size,mars,2,40000,15487487,2582730.2,290.2,233.5,912.4,2361.4,198986.2,11.77,4638292,4904080,8192,94.58,32.4,0,33554432,20260811
random_size,mars,3,40000,24641137,1623301.7,511.7,235.0,1026.5,3616.5,4992912.5,11.77,5653896,5920528,8192,95.50,32.5,0,33554432,20260812
random_size,mars,4,40000,15471034,2585476.8,307.7,196.5,992.3,8568.3,1007465.1,11.77,7918876,8184896,8192,96.75,32.5,0,33554432,20260813
random_size,mars,5,40000,12908448,3098745.9,246.0,209.3,712.7,2566.8,95208.2,11.77,7980160,8245600,8192,96.78,32.4,0,33554432,20260814
random_size,mars,6,40000,14685786,2723722.1,280.6,232.1,832.5,3456.8,178244.5,11.77,9571333,9836864,8192,97.30,32.4,0,33554432,20260815
random_size,mars,7,40000,23332541,1714343.9,462.4,269.2,975.2,27006.3,964726.3,11.77,8097304,8362960,8192,96.82,32.4,0,33554432,20260816
random_size,mars,8,40000,22676817,1763916.0,475.3,263.5,709.9,2235.9,5256636.4,11.77,7966680,8232512,8192,96.77,32.5,0,33554432,20260817
random_size,mars,9,40000,23701076,1687687.1,498.1,274.9,1249.0,4255.4,4283434.8,11.77,7430948,7696384,8192,96.55,32.4,0,33554432,20260818
random_size,system,1,40000,15426571,2592928.8,331.6,30.3,416.1,6834.0,8106281.8,11.77,0,0,0,0.00,0.0,0,33554432,20260810
random_size,system,2,40000,7898672,5064142.4,147.3,27.1,323.4,3297.0,2863472.4,11.77,0,0,0,0.00,0.0,0,33554432,20260811
random_size,system,3,40000,6967083,5741283.7,113.4,31.7,555.9,5533.3,715837.9,11.77,0,0,0,0.00,0.0,0,33554432,20260812
random_size,system,4,40000,6851449,5838181.1,120.9,27.5,282.0,4689.0,1410035.6,11.77,0,0,0,0.00,0.0,0,33554432,20260813
random_size,system,5,40000,3812920,10490647.6,52.4,26.4,169.4,3776.2,73444.3,11.77,0,0,0,0.00,0.0,0,33554432,20260814
random_size,system,6,40000,6356550,6292721.7,97.0,29.6,530.2,4574.9,414710.7,11.77,0,0,0,0.00,0.0,0,33554432,20260815
random_size,system,7,40000,4864811,8222313.3,75.2,30.0,196.5,5556.1,230592.7,11.77,0,0,0,0.00,0.0,0,33554432,20260816
random_size,system,8,40000,4937648,8101023.0,66.0,29.6,247.8,3023.2,94916.9,11.77,0,0,0,0.00,0.0,0,33554432,20260817
random_size,system,9,40000,6210222,6440993.6,86.6,29.6,297.7,6332.0,182185.5,11.77,0,0,0,0.00,0.0,0,33554432,20260818
churn,mars,1,40000,8220567,4865844.4,126.6,102.3,361.9,1380.2,53408.2,11.77,1917281,1935872,512,99.04,36.3,0,33554432,20260810
churn,mars,2,40000,7539777,5305196.7,118.4,98.8,307.7,630.0,78395.7,11.77,2666891,2685952,512,99.29,37.2,0,33554432,20260811
churn,mars,3,40000,7127838,5611799.8,110.2,97.3,229.3,604.4,20994.5,11.77,1823162,1842464,512,98.95,37.7,0,33554432,20260812
churn,mars,4,40000,9525182,4199394.8,153.7,117.3,416.1,1848.0,113036.2,11.77,2686311,2705808,512,99.28,38.1,0,33554432,20260813
churn,mars,5,40000,12531092,3192060.2,221.1,138.0,498.8,1802.4,620555.1,11.77,3175881,3194944,512,99.40,37.2,0,33554432,20260814
churn,mars,6,40000,8739358,4576995.2,143.0,105.9,356.2,678.5,159944.8,11.77,1824403,1843568,512,98.96,37.4,0,33554432,20260815
churn,mars,7,40000,7989049,5006853.8,125.5,101.6,333.4,692.8,48001.5,11.77,2660471,2679632,512,99.28,37.4,0,33554432,20260816
churn,mars,8,40000,9999779,4000088.4,162.2,128.0,490.3,1619.8,105437.3,11.77,2027233,2046096,512,99.08,36.8,0,33554432,20260817
