# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0
# date=2026-08-25T08:39:02Z
# git_sha=8a43db6
# profile=fast
# preload=libmars_preload.so
# reps=11 programs=9
# note=wall time of whole processes; see tools/preload_bench.py
# heap_checks_passed=11 heap_checks_failed=0
program,allocator,rep,wall_ns,max_rss_kb,exit_code
ls_recursive,glibc,1,25047860,12288,0
ls_recursive,mars,1,31735057,12288,0
git_status,glibc,1,191825430,12288,0
git_status,mars,1,181356210,12288,0
git_log_stat,glibc,1,4066811419,12288,0
git_log_stat,mars,1,3612778962,12288,0
grep_recursive,glibc,1,45536211,12288,0
grep_recursive,mars,1,49107217,12288,0
python_sum,glibc,1,24148089,12288,0
python_sum,mars,1,25146627,12288,0
python_dict,glibc,1,96480882,47340,0
python_dict,mars,1,102213089,48172,0
gcc_compile,glibc,1,172339442,27000,0
gcc_compile,mars,1,202899457,26752,0
calloc_4mb_x200,glibc,1,32631775,12288,0
calloc_4mb_x200,mars,1,10109624,12288,0
calloc_4mb_x200,mars_nofresh,1,245770245,12288,0
calloc_4kb_x200000,glibc,1,13389706,12288,0
calloc_4kb_x200000,mars,1,48871588,12288,0
calloc_4kb_x200000,mars_nofresh,1,48342809,12288,0
ls_recursive,glibc,2,21875411,12288,0
ls_recursive,mars,2,29223905,12288,0
git_status,glibc,2,169349337,12288,0
git_status,mars,2,181093166,12288,0
git_log_stat,glibc,2,5106226544,12288,0
git_log_stat,mars,2,4728563161,12288,0
grep_recursive,glibc,2,69032711,12288,0
grep_recursive,mars,2,70311381,12288,0
python_sum,glibc,2,29184358,12288,0
python_sum,mars,2,35101236,12288,0
python_dict,glibc,2,152075226,47336,0
python_dict,mars,2,121403600,48300,0
gcc_compile,glibc,2,178014836,27004,0
gcc_compile,mars,2,284156752,26752,0
calloc_4mb_x200,glibc,2,68102858,12288,0
calloc_4mb_x200,mars,2,7928553,12288,0
calloc_4mb_x200,mars_nofresh,2,461313291,12288,0
calloc_4kb_x200000,glibc,2,28219169,12288,0
calloc_4kb_x200000,mars,2,80115706,12288,0
calloc_4kb_x200000,mars_nofresh,2,62824680,12288,0
ls_recursive,glibc,3,26924943,12288,0
ls_recursive,mars,3,28787929,12288,0
git_status,glibc,3,190729117,12288,0
git_status,mars,3,253828489,12288,0
git_log_stat,glibc,3,4074504726,12288,0
git_log_stat,mars,3,3922050227,12288,0
grep_recursive,glibc,3,48201464,12288,0
grep_recursive,mars,3,50329762,12288,0
python_sum,glibc,3,22488892,12288,0
python_sum,mars,3,31487799,12288,0
python_dict,glibc,3,112825816,47336,0
python_dict,mars,3,89643655,48176,0
gcc_compile,glibc,3,192972395,27004,0
gcc_compile,mars,3,232982136,26752,0
calloc_4mb_x200,glibc,3,41921610,12288,0
calloc_4mb_x200,mars,3,8547415,12288,0
calloc_4mb_x200,mars_nofresh,3,281437391,12288,0
calloc_4kb_x200000,glibc,3,14889507,12288,0
calloc_4kb_x200000,mars,3,49445290,12288,0
calloc_4kb_x200000,mars_nofresh,3,64457822,12288,0
ls_recursive,glibc,4,24684734,12288,0
ls_recursive,mars,4,30233545,12288,0
git_status,glibc,4,190334181,12288,0
git_status,mars,4,187336972,12288,0
git_log_stat,glibc,4,3729050769,12288,0
git_log_stat,mars,4,3821705494,12288,0
grep_recursive,glibc,4,47884866,12288,0
grep_recursive,mars,4,54931919,12288,0
python_sum,glibc,4,21494441,12288,0
python_sum,mars,4,31417771,12288,0
python_dict,glibc,4,100868079,47336,0
python_dict,mars,4,137446004,48300,0
gcc_compile,glibc,4,200980383,27004,0
gcc_compile,mars,4,395506855,26752,0
calloc_4mb_x200,glibc,4,48548738,12288,0
calloc_4mb_x200,mars,4,11298634,12288,0
calloc_4mb_x200,mars_nofresh,4,404959648,12288,0
calloc_4kb_x200000,glibc,4,33001885,12288,0
calloc_4kb_x200000,mars,4,123245281,12288,0
calloc_4kb_x200000,mars_nofresh,4,102773439,12288,0
ls_recursive,glibc,5,40441629,12288,0
ls_recursive,mars,5,40557062,12288,0
git_status,glibc,5,293176700,12288,0
git_status,mars,5,273011364,12288,0
git_log_stat,glibc,5,5275988379,12288,0
git_log_stat,mars,5,5295204841,12288,0
grep_recursive,glibc,5,73502728,12288,0
grep_recursive,mars,5,85164330,12288,0
python_sum,glibc,5,36106904,12288,0
python_sum,mars,5,34605511,12288,0
python_dict,glibc,5,120502902,47208,0
python_dict,mars,5,134573575,48300,0
gcc_compile,glibc,5,464392533,26980,0
gcc_compile,mars,5,1013969487,26752,0
calloc_4mb_x200,glibc,5,109268416,12288,0
calloc_4mb_x200,mars,5,27325126,12288,0
calloc_4mb_x200,mars_nofresh,5,460020627,12288,0
calloc_4kb_x200000,glibc,5,18975995,12288,0
calloc_4kb_x200000,mars,5,64217347,12288,0
calloc_4kb_x200000,mars_nofresh,5,78370944,12288,0
ls_recursive,glibc,6,49838691,12288,0
