# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0
# date=2026-08-25T08:41:09Z
# git_sha=8a43db6
# profile=hardened
# preload=libmars_preload.so
# reps=11 programs=9
# note=wall time of whole processes; see tools/preload_bench.py
# heap_checks_passed=11 heap_checks_failed=0
program,allocator,rep,wall_ns,max_rss_kb,exit_code
ls_recursive,glibc,1,29050316,12288,0
ls_recursive,mars,1,37045649,12288,0
git_status,glibc,1,247554808,12288,0
git_status,mars,1,260032090,12288,0
git_log_stat,glibc,1,4938023668,12288,0
git_log_stat,mars,1,4280696678,12288,0
grep_recursive,glibc,1,46071502,12288,0
grep_recursive,mars,1,49919402,12288,0
python_sum,glibc,1,24666188,12288,0
python_sum,mars,1,28654742,12288,0
python_dict,glibc,1,144690161,47312,0
python_dict,mars,1,105197395,48308,0
gcc_compile,glibc,1,206864013,27000,0
gcc_compile,mars,1,246286137,26880,0
calloc_4mb_x200,glibc,1,44898526,12288,0
calloc_4mb_x200,mars,1,11576554,12288,0
calloc_4mb_x200,mars_nofresh,1,292561984,12288,0
calloc_4kb_x200000,glibc,1,13287334,12288,0
calloc_4kb_x200000,mars,1,73029183,12288,0
calloc_4kb_x200000,mars_nofresh,1,71666999,12288,0
ls_recursive,glibc,2,22886984,12288,0
ls_recursive,mars,2,34058902,12288,0
git_status,glibc,2,192701888,12288,0
git_status,mars,2,201664843,12288,0
git_log_stat,glibc,2,4424360474,12288,0
git_log_stat,mars,2,6024210529,12288,0
grep_recursive,glibc,2,65172936,12288,0
grep_recursive,mars,2,69222527,12288,0
python_sum,glibc,2,28532964,12288,0
python_sum,mars,2,33235943,12288,0
python_dict,glibc,2,150471477,47336,0
python_dict,mars,2,153424299,48180,0
gcc_compile,glibc,2,296605991,26984,0
gcc_compile,mars,2,346327741,26880,0
calloc_4mb_x200,glibc,2,64371573,12288,0
calloc_4mb_x200,mars,2,12701009,12288,0
calloc_4mb_x200,mars_nofresh,2,358543021,12288,0
calloc_4kb_x200000,glibc,2,13511248,12288,0
calloc_4kb_x200000,mars,2,71486567,12288,0
calloc_4kb_x200000,mars_nofresh,2,84060059,12288,0
ls_recursive,glibc,3,32973515,12288,0
ls_recursive,mars,3,44065290,12288,0
git_status,glibc,3,365859112,12288,0
git_status,mars,3,258762392,12288,0
git_log_stat,glibc,3,5609519390,12288,0
git_log_stat,mars,3,5312454425,12288,0
grep_recursive,glibc,3,62027028,12288,0
grep_recursive,mars,3,66495990,12288,0
python_sum,glibc,3,26714626,12288,0
python_sum,mars,3,38704130,12288,0
python_dict,glibc,3,330660822,47336,0
python_dict,mars,3,203910214,48308,0
gcc_compile,glibc,3,332120457,26996,0
gcc_compile,mars,3,345149239,26880,0
calloc_4mb_x200,glibc,3,72524463,12288,0
calloc_4mb_x200,mars,3,13991138,12288,0
calloc_4mb_x200,mars_nofresh,3,373059840,12288,0
calloc_4kb_x200000,glibc,3,18420578,12288,0
calloc_4kb_x200000,mars,3,78194305,12288,0
calloc_4kb_x200000,mars_nofresh,3,88318765,12288,0
ls_recursive,glibc,4,25052569,12288,0
ls_recursive,mars,4,42797612,12288,0
git_status,glibc,4,276240034,12288,0
git_status,mars,4,256818546,12288,0
git_log_stat,glibc,4,5079691934,12288,0
git_log_stat,mars,4,5279610313,12288,0
grep_recursive,glibc,4,57695698,12288,0
grep_recursive,mars,4,79577591,12288,0
python_sum,glibc,4,29384293,12288,0
python_sum,mars,4,35667437,12288,0
python_dict,glibc,4,149372389,47340,0
python_dict,mars,4,136163181,48308,0
gcc_compile,glibc,4,265447791,26872,0
gcc_compile,mars,4,344441644,26880,0
calloc_4mb_x200,glibc,4,90329700,12288,0
calloc_4mb_x200,mars,4,16675836,12288,0
calloc_4mb_x200,mars_nofresh,4,374675304,12288,0
calloc_4kb_x200000,glibc,4,16297132,12288,0
calloc_4kb_x200000,mars,4,73619826,12288,0
calloc_4kb_x200000,mars_nofresh,4,81508511,12288,0
ls_recursive,glibc,5,29679232,12288,0
ls_recursive,mars,5,36101229,12288,0
git_status,glibc,5,247169959,12288,0
git_status,mars,5,282084275,12288,0
git_log_stat,glibc,5,4331436748,12288,0
git_log_stat,mars,5,3932463506,12288,0
grep_recursive,glibc,5,43442727,12288,0
grep_recursive,mars,5,46984818,12288,0
python_sum,glibc,5,23433781,12288,0
python_sum,mars,5,26442693,12288,0
python_dict,glibc,5,111944925,47340,0
python_dict,mars,5,95513056,48180,0
gcc_compile,glibc,5,313834580,26928,0
gcc_compile,mars,5,265145251,26880,0
calloc_4mb_x200,glibc,5,29457229,12288,0
calloc_4mb_x200,mars,5,11265839,12288,0
calloc_4mb_x200,mars_nofresh,5,300704719,12288,0
calloc_4kb_x200000,glibc,5,14625161,12288,0
calloc_4kb_x200000,mars,5,69841043,12288,0
calloc_4kb_x200000,mars_nofresh,5,71696926,12288,0
ls_recursive,glibc,6,30604633,12288,0
ls_recursive,mars,6,43019561,12288,0
git_status,glibc,6,175662777,12288,0
git_status,mars,6,178131731,12288,0
git_log_stat,glibc,6,3440223430,12288,0
git_log_stat,mars,6,3737076650,12288,0
grep_recursive,glibc,6,41715082,12288,0
grep_recursive,mars,6,43613406,12288,0
python_sum,glibc,6,20014810,12288,0
python_sum,mars,6,24842252,12288,0
python_dict,glibc,6,103753042,47336,0
python_dict,mars,6,104447416,48308,0
gcc_compile,glibc,6,178088127,26880,0
gcc_compile,mars,6,221535438,26880,0
calloc_4mb_x200,glibc,6,32750490,12288,0
calloc_4mb_x200,mars,6,9700637,12288,0
calloc_4mb_x200,mars_nofresh,6,300002066,12288,0
calloc_4kb_x200000,glibc,6,12304122,12288,0
calloc_4kb_x200000,mars,6,69660471,12288,0
calloc_4kb_x200000,mars_nofresh,6,82588057,12288,0
ls_recursive,glibc,7,23909422,12288,0
ls_recursive,mars,7,31007368,12288,0
git_status,glibc,7,174746540,12288,0
git_status,mars,7,177942807,12288,0
git_log_stat,glibc,7,3333099748,12288,0
git_log_stat,mars,7,3652641040,12288,0
grep_recursive,glibc,7,52390188,12288,0
grep_recursive,mars,7,54165542,12288,0
python_sum,glibc,7,23847870,12288,0
python_sum,mars,7,44992599,12288,0
python_dict,glibc,7,171993841,47336,0
python_dict,mars,7,143688367,48180,0
gcc_compile,glibc,7,181358337,26908,0
gcc_compile,mars,7,217017514,26880,0
calloc_4mb_x200,glibc,7,29862427,12288,0
calloc_4mb_x200,mars,7,7860416,12288,0
calloc_4mb_x200,mars_nofresh,7,279454801,12288,0
calloc_4kb_x200000,glibc,7,13441598,12288,0
calloc_4kb_x200000,mars,7,71666740,12288,0
calloc_4kb_x200000,mars_nofresh,7,67787311,12288,0
ls_recursive,glibc,8,27292950,12288,0
ls_recursive,mars,8,33508512,12288,0
git_status,glibc,8,174717869,12288,0
git_status,mars,8,172200618,12288,0
git_log_stat,glibc,8,3399857721,12288,0
git_log_stat,mars,8,3514477923,12416,0
grep_recursive,glibc,8,44293688,12416,0
grep_recursive,mars,8,46830179,12416,0
python_sum,glibc,8,23633842,12416,0
python_sum,mars,8,29670892,12416,0
python_dict,glibc,8,127113466,47208,0
python_dict,mars,8,96816828,48180,0
gcc_compile,glibc,8,209407321,27008,0
gcc_compile,mars,8,240690311,26752,0
calloc_4mb_x200,glibc,8,29827998,12416,0
calloc_4mb_x200,mars,8,11889837,12416,0
calloc_4mb_x200,mars_nofresh,8,282329066,12416,0
