# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0
# date=2026-08-25T08:44:08Z
# git_sha=8a43db6
# profile=paranoid
# preload=libmars_preload.so
# reps=11 programs=9
# note=wall time of whole processes; see tools/preload_bench.py
# heap_checks_passed=11 heap_checks_failed=0
program,allocator,rep,wall_ns,max_rss_kb,exit_code
ls_recursive,glibc,1,22289294,12160,0
ls_recursive,mars,1,32534619,12160,0
git_status,glibc,1,168067050,12160,0
git_status,mars,1,168898173,12160,0
git_log_stat,glibc,1,3745218059,12160,0
git_log_stat,mars,1,3543989861,12288,0
grep_recursive,glibc,1,43180541,12288,0
grep_recursive,mars,1,43307925,12288,0
python_sum,glibc,1,20446646,12288,0
python_sum,mars,1,30327257,12288,0
python_dict,glibc,1,184913888,47316,0
python_dict,mars,1,111502902,48320,0
gcc_compile,glibc,1,204181732,26896,0
gcc_compile,mars,1,299760138,27008,0
calloc_4mb_x200,glibc,1,35047272,12288,0
calloc_4mb_x200,mars,1,8055474,12288,0
calloc_4mb_x200,mars_nofresh,1,256948318,12288,0
calloc_4kb_x200000,glibc,1,12591792,12288,0
calloc_4kb_x200000,mars,1,74941234,12288,0
calloc_4kb_x200000,mars_nofresh,1,70640832,12288,0
ls_recursive,glibc,2,23175533,12288,0
ls_recursive,mars,2,33083253,12288,0
git_status,glibc,2,183413420,12288,0
git_status,mars,2,167614987,12288,0
git_log_stat,glibc,2,3645259077,12288,0
git_log_stat,mars,2,3728081323,12288,0
grep_recursive,glibc,2,51064006,12288,0
grep_recursive,mars,2,54219882,12288,0
python_sum,glibc,2,21310662,12288,0
python_sum,mars,2,25818996,12288,0
python_dict,glibc,2,102816942,47336,0
python_dict,mars,2,107183332,48196,0
gcc_compile,glibc,2,189702071,26900,0
gcc_compile,mars,2,223104073,27008,0
calloc_4mb_x200,glibc,2,33851992,12288,0
calloc_4mb_x200,mars,2,9317711,12288,0
calloc_4mb_x200,mars_nofresh,2,261768029,12288,0
calloc_4kb_x200000,glibc,2,12991380,12288,0
calloc_4kb_x200000,mars,2,75501594,12288,0
calloc_4kb_x200000,mars_nofresh,2,71774009,12288,0
ls_recursive,glibc,3,21148736,12288,0
ls_recursive,mars,3,31379958,12288,0
git_status,glibc,3,166274475,12288,0
git_status,mars,3,167489833,12288,0
git_log_stat,glibc,3,3635103741,12288,0
git_log_stat,mars,3,3608251413,12288,0
grep_recursive,glibc,3,41543227,12288,0
grep_recursive,mars,3,45500098,12288,0
python_sum,glibc,3,20688003,12288,0
python_sum,mars,3,24661256,12288,0
python_dict,glibc,3,116523947,47336,0
python_dict,mars,3,87280274,48188,0
gcc_compile,glibc,3,185239511,26900,0
gcc_compile,mars,3,219040164,27008,0
calloc_4mb_x200,glibc,3,29463483,12288,0
calloc_4mb_x200,mars,3,9976276,12288,0
calloc_4mb_x200,mars_nofresh,3,274963561,12288,0
calloc_4kb_x200000,glibc,3,12047878,12288,0
calloc_4kb_x200000,mars,3,72660759,12288,0
calloc_4kb_x200000,mars_nofresh,3,67415020,12288,0
ls_recursive,glibc,4,22393946,12288,0
ls_recursive,mars,4,29412824,12288,0
git_status,glibc,4,172906639,12288,0
git_status,mars,4,175883910,12288,0
git_log_stat,glibc,4,3647197466,12288,0
git_log_stat,mars,4,3811756697,12288,0
grep_recursive,glibc,4,77463708,12288,0
grep_recursive,mars,4,74166674,12288,0
python_sum,glibc,4,35791565,12288,0
python_sum,mars,4,42284496,12288,0
python_dict,glibc,4,162243350,47336,0
python_dict,mars,4,144717637,48192,0
gcc_compile,glibc,4,220722094,26880,0
gcc_compile,mars,4,267027686,27008,0
calloc_4mb_x200,glibc,4,48239848,12288,0
calloc_4mb_x200,mars,4,10482148,12288,0
calloc_4mb_x200,mars_nofresh,4,308526303,12288,0
calloc_4kb_x200000,glibc,4,14622709,12288,0
calloc_4kb_x200000,mars,4,90591162,12288,0
calloc_4kb_x200000,mars_nofresh,4,79107788,12288,0
ls_recursive,glibc,5,24889569,12288,0
ls_recursive,mars,5,34548150,12288,0
git_status,glibc,5,183025943,12288,0
git_status,mars,5,175276053,12288,0
git_log_stat,glibc,5,3703738254,12288,0
git_log_stat,mars,5,3515297539,12288,0
grep_recursive,glibc,5,40085955,12288,0
grep_recursive,mars,5,42422904,12288,0
python_sum,glibc,5,20094704,12288,0
python_sum,mars,5,26300071,12288,0
python_dict,glibc,5,107294552,47208,0
python_dict,mars,5,103476825,48192,0
gcc_compile,glibc,5,188629624,26988,0
gcc_compile,mars,5,232662033,26880,0
calloc_4mb_x200,glibc,5,32353711,12288,0
calloc_4mb_x200,mars,5,11262961,12288,0
calloc_4mb_x200,mars_nofresh,5,257759100,12288,0
calloc_4kb_x200000,glibc,5,12867520,12288,0
calloc_4kb_x200000,mars,5,74875954,12288,0
calloc_4kb_x200000,mars_nofresh,5,70616248,12288,0
ls_recursive,glibc,6,22473761,12288,0
ls_recursive,mars,6,31400076,12288,0
git_status,glibc,6,156385278,12288,0
git_status,mars,6,177554384,12288,0
git_log_stat,glibc,6,3776926071,12288,0
git_log_stat,mars,6,3919966545,12288,0
grep_recursive,glibc,6,45821987,12288,0
grep_recursive,mars,6,45910910,12288,0
python_sum,glibc,6,20061332,12288,0
python_sum,mars,6,25545961,12288,0
python_dict,glibc,6,102125437,47440,0
python_dict,mars,6,98991137,48192,0
gcc_compile,glibc,6,185813609,26960,0
gcc_compile,mars,6,275944887,26880,0
calloc_4mb_x200,glibc,6,35928932,12288,0
calloc_4mb_x200,mars,6,9746537,12288,0
calloc_4mb_x200,mars_nofresh,6,264471204,12288,0
calloc_4kb_x200000,glibc,6,13107185,12288,0
calloc_4kb_x200000,mars,6,80949832,12288,0
calloc_4kb_x200000,mars_nofresh,6,73493683,12288,0
ls_recursive,glibc,7,22577782,12288,0
ls_recursive,mars,7,31503418,12288,0
git_status,glibc,7,170392955,12288,0
git_status,mars,7,178821640,12288,0
git_log_stat,glibc,7,6135384389,12288,0
git_log_stat,mars,7,10436880034,12288,0
grep_recursive,glibc,7,114756547,12288,0
grep_recursive,mars,7,128354097,12288,0
python_sum,glibc,7,29362767,12288,0
python_sum,mars,7,52797490,12288,0
python_dict,glibc,7,136758206,47336,0
python_dict,mars,7,131328266,48320,0
gcc_compile,glibc,7,410422555,26880,0
gcc_compile,mars,7,450998374,26880,0
calloc_4mb_x200,glibc,7,57921189,12288,0
calloc_4mb_x200,mars,7,16506231,12288,0
calloc_4mb_x200,mars_nofresh,7,485157610,12288,0
calloc_4kb_x200000,glibc,7,18962460,12288,0
calloc_4kb_x200000,mars,7,96960943,12288,0
calloc_4kb_x200000,mars_nofresh,7,97397103,12288,0
ls_recursive,glibc,8,35249294,12288,0
ls_recursive,mars,8,54470519,12416,0
git_status,glibc,8,437905761,12416,0
git_status,mars,8,456707667,12416,0
git_log_stat,glibc,8,9170770519,12416,0
git_log_stat,mars,8,10077072763,12416,0
grep_recursive,glibc,8,96982646,12416,0
grep_recursive,mars,8,110405516,12416,0
python_sum,glibc,8,25481367,12416,0
python_sum,mars,8,33974845,12416,0
python_dict,glibc,8,164204480,47336,0
python_dict,mars,8,126184340,48324,0
gcc_compile,glibc,8,306610684,26848,0
gcc_compile,mars,8,398243580,27008,0
calloc_4mb_x200,glibc,8,46909780,12416,0
calloc_4mb_x200,mars,8,20132029,12416,0
calloc_4mb_x200,mars_nofresh,8,372917505,12416,0
calloc_4kb_x200000,glibc,8,21425058,12416,0
calloc_4kb_x200000,mars,8,95573155,12416,0
calloc_4kb_x200000,mars_nofresh,8,95812653,12416,0
ls_recursive,glibc,9,30076713,12416,0
ls_recursive,mars,9,40759419,12416,0
git_status,glibc,9,491840934,12416,0
git_status,mars,9,426386484,12416,0
git_log_stat,glibc,9,9251492788,12416,0
git_log_stat,mars,9,9842160190,12416,0
grep_recursive,glibc,9,107079880,12416,0
grep_recursive,mars,9,113598092,12416,0
python_sum,glibc,9,33567768,12416,0
python_sum,mars,9,40778936,12416,0
python_dict,glibc,9,172139620,47332,0
python_dict,mars,9,172810557,48320,0
gcc_compile,glibc,9,431689029,26896,0
gcc_compile,mars,9,454880900,26880,0
calloc_4mb_x200,glibc,9,45850356,12416,0
calloc_4mb_x200,mars,9,16254671,12416,0
calloc_4mb_x200,mars_nofresh,9,432481439,12416,0
calloc_4kb_x200000,glibc,9,22302227,12416,0
calloc_4kb_x200000,mars,9,98842874,12416,0
calloc_4kb_x200000,mars_nofresh,9,118508138,12416,0
ls_recursive,glibc,10,45768391,12416,0
ls_recursive,mars,10,50812026,12416,0
git_status,glibc,10,543486949,12416,0
git_status,mars,10,443571174,12416,0
git_log_stat,glibc,10,9911706363,12416,0
git_log_stat,mars,10,10407631621,12416,0
grep_recursive,glibc,10,102641193,12416,0
grep_recursive,mars,10,111967649,12416,0
python_sum,glibc,10,30163784,12416,0
python_sum,mars,10,38668602,12416,0
python_dict,glibc,10,126579185,47336,0
python_dict,mars,10,128123619,48324,0
gcc_compile,glibc,10,330243347,27000,0
gcc_compile,mars,10,417186483,27008,0
calloc_4mb_x200,glibc,10,35790796,12416,0
calloc_4mb_x200,mars,10,18298132,12416,0
calloc_4mb_x200,mars_nofresh,10,392114013,12416,0
calloc_4kb_x200000,glibc,10,23126985,12416,0
calloc_4kb_x200000,mars,10,94791268,12416,0
calloc_4kb_x200000,mars_nofresh,10,95603543,12416,0
ls_recursive,glibc,11,29695215,12416,0
ls_recursive,mars,11,42517964,12416,0
git_status,glibc,11,512805538,12416,0
git_status,mars,11,525854349,12416,0
git_log_stat,glibc,11,9683281682,12416,0
git_log_stat,mars,11,9475980532,12416,0
grep_recursive,glibc,11,99468576,12416,0
grep_recursive,mars,11,110704917,12416,0
python_sum,glibc,11,27925200,12416,0
python_sum,mars,11,32352143,12416,0
python_dict,glibc,11,126537604,47208,0
python_dict,mars,11,135173997,48192,0
gcc_compile,glibc,11,315413386,26992,0
gcc_compile,mars,11,456874710,27008,0
calloc_4mb_x200,glibc,11,41041509,12416,0
calloc_4mb_x200,mars,11,16988588,12416,0
calloc_4mb_x200,mars_nofresh,11,361145220,12416,0
calloc_4kb_x200000,glibc,11,17997759,12416,0
