# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-17T19:27:20Z
# git_sha=f182d28
# profile=fast metadata_bytes=8
# trials_per_cell=2000 base_seed=20260809 arena_bytes=262144
# latency_window_ops=4096
profile,scrub_interval,scrub_budget,target,bits,trials,discarded,detected_no_loss,detected_quarantined,detected_fatal,undetected_benign,undetected_silent,crash,timeout,detection_pct,detection_lo,detection_hi,silent_pct,silent_lo,silent_hi,latency_n,latency_mean_ops,latency_max_ops
fast,1,16,alloc_hdr,1,2000,0,314,1624,0,62,0,0,0,100.0000,99.8022,100.0000,0.0000,0.0000,0.1917,1729,0.3198,4
fast,1,16,alloc_hdr,2,2000,0,167,1788,0,42,3,0,0,99.8468,99.5505,99.9479,0.1500,0.0510,0.4401,1928,0.3418,7
fast,1,16,free_hdr,1,2000,0,71,1590,0,239,100,0,0,94.3214,93.1409,95.3090,5.0000,4.1281,6.0444,1728,0.5035,102
fast,1,16,free_hdr,2,2000,0,27,1862,0,73,38,0,0,98.0280,97.3050,98.5599,1.9000,1.3874,2.5970,1922,0.3356,38
fast,1,16,links,1,2000,0,1938,0,0,62,0,0,0,100.0000,99.8022,100.0000,0.0000,0.0000,0.1917,1938,16.0867,1903
fast,1,16,links,2,2000,0,1949,0,0,51,0,0,0,100.0000,99.8033,100.0000,0.0000,0.0000,0.1917,1949,15.3433,1081
fast,1,16,free_footer,1,2000,0,1663,0,0,337,0,0,0,100.0000,99.7695,100.0000,0.0000,0.0000,0.1917,1663,0.3271,1
fast,1,16,free_footer,2,2000,0,1661,0,0,339,0,0,0,100.0000,99.7693,100.0000,0.0000,0.0000,0.1917,1661,0.3432,1
fast,1,16,payload,1,2000,0,0,0,0,0,2000,0,0,0.0000,0.0000,0.1917,100.0000,99.8083,100.0000,0,0.0000,0
fast,1,16,payload,2,2000,0,0,0,0,5,1995,0,0,0.0000,0.0000,0.1922,99.7500,99.4161,99.8932,0,0.0000,0
fast,1,16,any,1,2000,0,1,4,0,1976,19,0,0,20.8333,9.2448,40.4705,0.9500,0.6090,1.4790,5,0.2000,1
fast,1,16,any,2,2000,0,2,2,0,1961,35,0,0,10.2564,4.0613,23.5789,1.7500,1.2610,2.4240,4,11.7500,42
fast,256,16,alloc_hdr,1,2000,0,332,1606,0,62,0,0,0,100.0000,99.8022,100.0000,0.0000,0.0000,0.1917,1729,236.4534,1535
fast,256,16,alloc_hdr,2,2000,0,173,1782,0,42,3,0,0,99.8468,99.5505,99.9479,0.1500,0.0510,0.4401,1928,226.2282,2815
fast,256,16,free_hdr,1,2000,0,88,1641,0,239,32,0,0,98.1829,97.4460,98.7099,1.6000,1.1356,2.2499,1728,10.9369,511
fast,256,16,free_hdr,2,2000,0,28,1886,0,73,13,0,0,99.3254,98.8492,99.6053,0.6500,0.3803,1.1090,1922,10.1576,330
fast,256,16,links,1,2000,0,1938,0,0,62,0,0,0,100.0000,99.8022,100.0000,0.0000,0.0000,0.1917,1938,16.0867,1903
fast,256,16,links,2,2000,0,1949,0,0,51,0,0,0,100.0000,99.8033,100.0000,0.0000,0.0000,0.1917,1949,15.3433,1081
fast,256,16,free_footer,1,2000,0,19,0,0,1981,0,0,0,100.0000,83.1821,100.0000,0.0000,0.0000,0.1917,19,335.8421,511
fast,256,16,free_footer,2,2000,0,29,0,0,1971,0,0,0,100.0000,88.3030,100.0000,0.0000,0.0000,0.1917,29,369.7586,511
fast,256,16,payload,1,2000,0,0,0,0,0,2000,0,0,0.0000,0.0000,0.1917,100.0000,99.8083,100.0000,0,0.0000,0
fast,256,16,payload,2,2000,0,0,0,0,5,1995,0,0,0.0000,0.0000,0.1922,99.7500,99.4161,99.8932,0,0.0000,0
fast,256,16,any,1,2000,0,0,4,0,1977,19,0,0,17.3913,6.9787,37.1376,0.9500,0.6090,1.4790,4,79.0000,255
fast,256,16,any,2,2000,0,2,2,0,1961,35,0,0,10.2564,4.0613,23.5789,1.7500,1.2610,2.4240,4,203.0000,511
fast,1024,16,alloc_hdr,1,2000,0,336,1602,0,62,0,0,0,100.0000,99.8022,100.0000,0.0000,0.0000,0.1917,1728,926.3426,4095
fast,1024,16,alloc_hdr,2,2000,0,177,1778,0,42,3,0,0,99.8468,99.5505,99.9479,0.1500,0.0510,0.4401,1928,872.4850,3071
fast,1024,16,free_hdr,1,2000,0,88,1641,0,239,32,0,0,98.1829,97.4460,98.7099,1.6000,1.1356,2.2499,1728,12.7159,2047
fast,1024,16,free_hdr,2,2000,0,28,1886,0,73,13,0,0,99.3254,98.8492,99.6053,0.6500,0.3803,1.1090,1922,10.1576,330
fast,1024,16,links,1,2000,0,1938,0,0,62,0,0,0,100.0000,99.8022,100.0000,0.0000,0.0000,0.1917,1938,16.0867,1903
fast,1024,16,links,2,2000,0,1949,0,0,51,0,0,0,100.0000,99.8033,100.0000,0.0000,0.0000,0.1917,1949,15.3433,1081
fast,1024,16,free_footer,1,2000,0,4,0,0,1996,0,0,0,100.0000,51.0109,100.0000,0.0000,0.0000,0.1917,4,1023.0000,1023
fast,1024,16,free_footer,2,2000,0,7,0,0,1993,0,0,0,100.0000,64.5670,100.0000,0.0000,0.0000,0.1917,7,1754.4286,2047
fast,1024,16,payload,1,2000,0,0,0,0,0,2000,0,0,0.0000,0.0000,0.1917,100.0000,99.8083,100.0000,0,0.0000,0
fast,1024,16,payload,2,2000,0,0,0,0,5,1995,0,0,0.0000,0.0000,0.1922,99.7500,99.4161,99.8932,0,0.0000,0
fast,1024,16,any,1,2000,0,0,4,0,1977,19,0,0,17.3913,6.9787,37.1376,0.9500,0.6090,1.4790,4,271.0000,1023
fast,1024,16,any,2,2000,0,2,2,0,1961,35,0,0,10.2564,4.0613,23.5789,1.7500,1.2610,2.4240,4,779.0000,2047
fast,4096,16,alloc_hdr,1,2000,0,344,1594,0,62,0,0,0,100.0000,99.8022,100.0000,0.0000,0.0000,0.1917,1317,2238.9636,4095
fast,4096,16,alloc_hdr,2,2000,0,178,1777,0,42,3,0,0,99.8468,99.5505,99.9479,0.1500,0.0510,0.4401,1495,2089.8836,4095
fast,4096,16,free_hdr,1,2000,0,88,1641,0,239,32,0,0,98.1829,97.4460,98.7099,1.6000,1.1356,2.2499,1726,10.3586,470
fast,4096,16,free_hdr,2,2000,0,28,1886,0,73,13,0,0,99.3254,98.8492,99.6053,0.6500,0.3803,1.1090,1922,10.1576,330
fast,4096,16,links,1,2000,0,1938,0,0,62,0,0,0,100.0000,99.8022,100.0000,0.0000,0.0000,0.1917,1938,16.0867,1903
fast,4096,16,links,2,2000,0,1949,0,0,51,0,0,0,100.0000,99.8033,100.0000,0.0000,0.0000,0.1917,1949,15.3433,1081
fast,4096,16,free_footer,1,2000,0,1,0,0,1999,0,0,0,100.0000,20.6549,100.0000,0.0000,0.0000,0.1917,1,4095.0000,4095
fast,4096,16,free_footer,2,2000,0,2,0,0,1998,0,0,0,100.0000,34.2380,100.0000,0.0000,0.0000,0.1917,0,0.0000,0
fast,4096,16,payload,1,2000,0,0,0,0,0,2000,0,0,0.0000,0.0000,0.1917,100.0000,99.8083,100.0000,0,0.0000,0
fast,4096,16,payload,2,2000,0,0,0,0,5,1995,0,0,0.0000,0.0000,0.1922,99.7500,99.4161,99.8932,0,0.0000,0
fast,4096,16,any,1,2000,0,0,4,0,1977,19,0,0,17.3913,6.9787,37.1376,0.9500,0.6090,1.4790,4,1039.0000,4095
fast,4096,16,any,2,2000,0,2,2,0,1961,35,0,0,10.2564,4.0613,23.5789,1.7500,1.2610,2.4240,3,1380.3333,4095
fast,0,16,alloc_hdr,1,2000,0,344,1594,0,62,0,0,0,100.0000,99.8022,100.0000,0.0000,0.0000,0.1917,600,21.0000,784
fast,0,16,alloc_hdr,2,2000,0,178,1777,0,42,3,0,0,99.8468,99.5505,99.9479,0.1500,0.0510,0.4401,737,27.6336,1879
fast,0,16,free_hdr,1,2000,0,88,1641,0,239,32,0,0,98.1829,97.4460,98.7099,1.6000,1.1356,2.2499,1726,10.3586,470
fast,0,16,free_hdr,2,2000,0,28,1886,0,73,13,0,0,99.3254,98.8492,99.6053,0.6500,0.3803,1.1090,1922,10.1576,330
fast,0,16,links,1,2000,0,1938,0,0,62,0,0,0,100.0000,99.8022,100.0000,0.0000,0.0000,0.1917,1938,16.0867,1903
fast,0,16,links,2,2000,0,1949,0,0,51,0,0,0,100.0000,99.8033,100.0000,0.0000,0.0000,0.1917,1949,15.3433,1081
fast,0,16,free_footer,1,2000,0,1,0,0,1999,0,0,0,100.0000,20.6549,100.0000,0.0000,0.0000,0.1917,0,0.0000,0
fast,0,16,free_footer,2,2000,0,2,0,0,1998,0,0,0,100.0000,34.2380,100.0000,0.0000,0.0000,0.1917,0,0.0000,0
fast,0,16,payload,1,2000,0,0,0,0,0,2000,0,0,0.0000,0.0000,0.1917,100.0000,99.8083,100.0000,0,0.0000,0
fast,0,16,payload,2,2000,0,0,0,0,5,1995,0,0,0.0000,0.0000,0.1922,99.7500,99.4161,99.8932,0,0.0000,0
fast,0,16,any,1,2000,0,0,4,0,1977,19,0,0,17.3913,6.9787,37.1376,0.9500,0.6090,1.4790,3,20.3333,34
fast,0,16,any,2,2000,0,2,2,0,1961,35,0,0,10.2564,4.0613,23.5789,1.7500,1.2610,2.4240,2,23.0000,42
