# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-24T20:00:09Z
# git_sha=971fd2e
# profile=paranoid metadata_bytes=40
# trials_per_cell=2000 base_seed=20260809 arena_bytes=262144
# latency_window_ops=4096
profile,scrub_interval,scrub_budget,target,bits,trials,discarded,detected_no_loss,detected_quarantined,detected_fatal,undetected_benign,undetected_silent,crash,timeout,detection_pct,detection_lo,detection_hi,silent_pct,silent_lo,silent_hi,latency_n,latency_mean_ops,latency_max_ops
paranoid,1,16,alloc_hdr,1,2000,0,2000,0,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,2000,0.3050,1
paranoid,1,16,alloc_hdr,2,2000,0,1982,0,0,18,0,0,0,100.0000,99.8066,100.0000,0.0000,0.0000,0.1917,1982,0.3259,1
paranoid,1,16,free_hdr,1,2000,0,267,1733,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,2000,0.3165,1
paranoid,1,16,free_hdr,2,2000,0,243,1736,0,21,0,0,0,100.0000,99.8063,100.0000,0.0000,0.0000,0.1917,1979,0.3153,1
paranoid,1,16,links,1,2000,0,1959,0,0,41,0,0,0,100.0000,99.8043,100.0000,0.0000,0.0000,0.1917,1959,14.4742,1162
paranoid,1,16,links,2,2000,0,1958,0,0,42,0,0,0,100.0000,99.8042,100.0000,0.0000,0.0000,0.1917,1958,14.9198,1631
paranoid,1,16,free_footer,1,2000,0,1663,0,0,337,0,0,0,100.0000,99.7695,100.0000,0.0000,0.0000,0.1917,1663,0.3271,1
paranoid,1,16,free_footer,2,2000,0,1661,0,0,339,0,0,0,100.0000,99.7693,100.0000,0.0000,0.0000,0.1917,1661,0.3432,1
paranoid,1,16,payload,1,2000,0,0,2000,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,2000,0.3290,1
paranoid,1,16,payload,2,2000,0,0,1995,0,5,0,0,0,100.0000,99.8078,100.0000,0.0000,0.0000,0.1917,1995,0.3208,1
paranoid,1,16,canary,1,2000,0,0,2000,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,2000,0.2935,1
paranoid,1,16,canary,2,2000,0,0,1957,0,43,0,0,0,100.0000,99.8041,100.0000,0.0000,0.0000,0.1917,1957,0.3229,1
paranoid,1,16,any,1,2000,0,3,18,0,1979,0,0,0,100.0000,84.5361,100.0000,0.0000,0.0000,0.1917,21,0.1429,1
paranoid,1,16,any,2,2000,0,9,30,0,1961,0,0,0,100.0000,91.0333,100.0000,0.0000,0.0000,0.1917,39,1.0769,18
paranoid,256,16,alloc_hdr,1,2000,0,2000,0,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,2000,197.3920,511
paranoid,256,16,alloc_hdr,2,2000,0,1982,0,0,18,0,0,0,100.0000,99.8066,100.0000,0.0000,0.0000,0.1917,1982,206.6700,511
paranoid,256,16,free_hdr,1,2000,0,267,1733,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,2000,10.7920,469
paranoid,256,16,free_hdr,2,2000,0,243,1736,0,21,0,0,0,100.0000,99.8063,100.0000,0.0000,0.0000,0.1917,1979,10.7741,330
paranoid,256,16,links,1,2000,0,1959,0,0,41,0,0,0,100.0000,99.8043,100.0000,0.0000,0.0000,0.1917,1959,14.4742,1162
paranoid,256,16,links,2,2000,0,1958,0,0,42,0,0,0,100.0000,99.8042,100.0000,0.0000,0.0000,0.1917,1958,14.9198,1631
paranoid,256,16,free_footer,1,2000,0,18,0,0,1982,0,0,0,100.0000,82.4121,100.0000,0.0000,0.0000,0.1917,18,340.3333,511
paranoid,256,16,free_footer,2,2000,0,25,0,0,1975,0,0,0,100.0000,86.6808,100.0000,0.0000,0.0000,0.1917,25,408.6000,511
paranoid,256,16,payload,1,2000,0,0,2000,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,2000,345.1120,511
paranoid,256,16,payload,2,2000,0,0,1995,0,5,0,0,0,100.0000,99.8078,100.0000,0.0000,0.0000,0.1917,1995,343.7980,511
paranoid,256,16,canary,1,2000,0,0,2000,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,2000,334.8720,511
paranoid,256,16,canary,2,2000,0,0,1957,0,43,0,0,0,100.0000,99.8041,100.0000,0.0000,0.0000,0.1917,1957,342.6444,511
paranoid,256,16,any,1,2000,0,2,18,0,1980,0,0,0,100.0000,83.8875,100.0000,0.0000,0.0000,0.1917,20,255.8000,511
paranoid,256,16,any,2,2000,0,9,30,0,1961,0,0,0,100.0000,91.0333,100.0000,0.0000,0.0000,0.1917,39,256.6923,511
paranoid,1024,16,alloc_hdr,1,2000,0,2000,0,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,2000,763.2225,2047
paranoid,1024,16,alloc_hdr,2,2000,0,1982,0,0,18,0,0,0,100.0000,99.8066,100.0000,0.0000,0.0000,0.1917,1982,802.6423,2047
paranoid,1024,16,free_hdr,1,2000,0,267,1733,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,2000,10.7920,469
paranoid,1024,16,free_hdr,2,2000,0,243,1736,0,21,0,0,0,100.0000,99.8063,100.0000,0.0000,0.0000,0.1917,1979,10.7933,330
paranoid,1024,16,links,1,2000,0,1959,0,0,41,0,0,0,100.0000,99.8043,100.0000,0.0000,0.0000,0.1917,1959,14.4742,1162
paranoid,1024,16,links,2,2000,0,1958,0,0,42,0,0,0,100.0000,99.8042,100.0000,0.0000,0.0000,0.1917,1958,14.9198,1631
paranoid,1024,16,free_footer,1,2000,0,2,0,0,1998,0,0,0,100.0000,34.2380,100.0000,0.0000,0.0000,0.1917,2,1023.0000,1023
paranoid,1024,16,free_footer,2,2000,0,4,0,0,1996,0,0,0,100.0000,51.0109,100.0000,0.0000,0.0000,0.1917,4,1791.0000,2047
paranoid,1024,16,payload,1,2000,0,0,2000,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,2000,1385.4960,2047
paranoid,1024,16,payload,2,2000,0,0,1995,0,5,0,0,0,100.0000,99.8078,100.0000,0.0000,0.0000,0.1917,1995,1374.0857,2047
paranoid,1024,16,canary,1,2000,0,0,2000,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,2000,1346.0720,2047
paranoid,1024,16,canary,2,2000,0,0,1957,0,43,0,0,0,100.0000,99.8041,100.0000,0.0000,0.0000,0.1917,1957,1370.9612,2047
paranoid,1024,16,any,1,2000,0,2,18,0,1980,0,0,0,100.0000,83.8875,100.0000,0.0000,0.0000,0.1917,20,1075.0000,2047
paranoid,1024,16,any,2,2000,0,9,30,0,1961,0,0,0,100.0000,91.0333,100.0000,0.0000,0.0000,0.1917,39,1077.2051,2047
paranoid,4096,16,alloc_hdr,1,2000,0,2000,0,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,1617,1803.8194,4095
paranoid,4096,16,alloc_hdr,2,2000,0,1982,0,0,18,0,0,0,100.0000,99.8066,100.0000,0.0000,0.0000,0.1917,1585,1927.1483,4095
paranoid,4096,16,free_hdr,1,2000,0,267,1733,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,2000,10.7920,469
