profile,scrub_interval,scrub_budget,target,bits,trials,discarded,detected_no_loss,detected_quarantined,detected_fatal,undetected_benign,undetected_silent,crash,detection_pct,detection_lo,detection_hi,silent_pct,silent_lo,silent_hi,latency_n,latency_mean_ops,latency_max_ops
hardened,1,16,alloc_hdr,1,200,0,4,196,0,0,0,0,100.0000,98.1155,100.0000,0.0000,0.0000,1.8845,200,0.3100,1
hardened,1,16,alloc_hdr,2,200,0,3,196,0,1,0,0,100.0000,98.1062,100.0000,0.0000,0.0000,1.8845,199,0.2915,1
hardened,1,16,free_hdr,1,200,0,0,200,0,0,0,0,100.0000,98.1155,100.0000,0.0000,0.0000,1.8845,200,0.3100,1
hardened,1,16,free_hdr,2,200,0,0,198,0,2,0,0,100.0000,98.0968,100.0000,0.0000,0.0000,1.8845,198,0.2727,1
hardened,1,16,links,1,200,0,197,0,0,3,0,0,100.0000,98.0873,100.0000,0.0000,0.0000,1.8845,197,14.1472,199
hardened,1,16,links,2,200,0,197,0,0,3,0,0,100.0000,98.0873,100.0000,0.0000,0.0000,1.8845,197,13.2538,221
hardened,1,16,free_footer,1,200,0,175,0,0,25,0,0,100.0000,97.8520,100.0000,0.0000,0.0000,1.8845,175,0.3257,1
hardened,1,16,free_footer,2,200,0,171,0,0,29,0,0,100.0000,97.8029,100.0000,0.0000,0.0000,1.8845,171,0.3275,1
hardened,1,16,payload,1,200,0,0,200,0,0,0,0,100.0000,98.1155,100.0000,0.0000,0.0000,1.8845,200,0.3700,1
hardened,1,16,payload,2,200,0,0,200,0,0,0,0,100.0000,98.1155,100.0000,0.0000,0.0000,1.8845,200,0.3500,1
hardened,1,16,canary,1,200,0,0,200,0,0,0,0,100.0000,98.1155,100.0000,0.0000,0.0000,1.8845,200,0.3400,1
hardened,1,16,canary,2,200,0,0,196,0,4,0,0,100.0000,98.0777,100.0000,0.0000,0.0000,1.8845,196,0.3112,1
hardened,1,16,any,1,200,0,0,2,0,198,0,0,100.0000,34.2380,100.0000,0.0000,0.0000,1.8845,2,0.0000,0
hardened,1,16,any,2,200,0,1,4,0,195,0,0,100.0000,56.5518,100.0000,0.0000,0.0000,1.8845,5,7.4000,37
hardened,256,16,alloc_hdr,1,200,0,4,196,0,0,0,0,100.0000,98.1155,100.0000,0.0000,0.0000,1.8845,200,184.4450,511
hardened,256,16,alloc_hdr,2,200,0,3,196,0,1,0,0,100.0000,98.1062,100.0000,0.0000,0.0000,1.8845,199,188.9296,511
hardened,256,16,free_hdr,1,200,0,0,200,0,0,0,0,100.0000,98.1155,100.0000,0.0000,0.0000,1.8845,200,10.5700,165
hardened,256,16,free_hdr,2,200,0,0,198,0,2,0,0,100.0000,98.0968,100.0000,0.0000,0.0000,1.8845,198,10.1970,91
hardened,256,16,links,1,200,0,197,0,0,3,0,0,100.0000,98.0873,100.0000,0.0000,0.0000,1.8845,197,14.1472,199
hardened,256,16,links,2,200,0,197,0,0,3,0,0,100.0000,98.0873,100.0000,0.0000,0.0000,1.8845,197,13.2538,221
hardened,256,16,free_footer,1,200,0,1,0,0,199,0,0,100.0000,20.6549,100.0000,0.0000,0.0000,1.8845,1,255.0000,255
hardened,256,16,free_footer,2,200,0,3,0,0,197,0,0,100.0000,43.8503,100.0000,0.0000,0.0000,1.8845,3,340.3333,511
