# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-25T08:34:25Z
# git_sha=8a43db6
# tsc_usable=1 tsc_flags_known=1 ns_per_tick=0.355454
# timer_overhead_ns=7.46
# profile=hardened metadata_bytes=24
# counters=on
# lock=arena
# ops_per_thread=200000 arena=growable
workload,allocator,lock,threads,rep,ops,ns_total,ops_per_sec,ops_per_sec_per_thread,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,timer_overhead_ns,alloc_failures,peak_payload_bytes,peak_block_bytes,peak_blocks,seed
mt_churn,mars,arena,1,1,200000,35252636,5673334.6,5673334.6,126.2,106.3,282.6,1789.7,85250.3,7.46,0,2728054,2746896,512,20261809
mt_churn,mars,arena,1,2,200000,37066266,5395741.8,5395741.8,133.7,110.5,316.7,2654.2,45220.9,7.46,0,2622873,2641744,512,20262809
mt_churn,mars,arena,1,3,200000,38679119,5170748.6,5170748.6,140.4,116.9,279.7,2040.0,446705.6,7.46,0,2252195,2271104,512,20263809
mt_churn,mars,arena,1,4,200000,38978707,5131006.5,5131006.5,140.0,114.8,318.1,2381.2,453569.7,7.46,0,2894054,2912672,512,20264809
mt_churn,mars,arena,1,5,200000,35844147,5579711.5,5579711.5,128.3,112.7,248.5,1573.6,56575.5,7.46,0,2069934,2088832,512,20265809
mt_churn,mars,arena,1,6,200000,40556251,4931422.3,4931422.3,150.4,123.3,332.3,2722.4,54905.2,7.46,0,2630862,2649984,512,20266809
mt_churn,mars,arena,1,7,200000,38031761,5258762.5,5258762.5,139.0,116.9,286.9,2483.6,65064.1,7.46,0,2734839,2753664,512,20267809
mt_churn,mars,arena,1,8,200000,37360726,5353215.0,5353215.0,136.5,119.1,262.7,1937.6,54202.5,7.46,0,2253462,2272384,512,20268809
mt_churn,mars,arena,1,9,200000,39199738,5102074.9,5102074.9,144.7,115.5,343.7,2267.4,92755.4,7.46,0,2595508,2614672,512,20269809
mt_churn,mars,arena,1,10,200000,52307186,3823566.4,3823566.4,199.1,166.7,410.5,4496.8,205796.9,7.46,0,3010358,3028928,512,20270809
mt_churn,mars,arena,1,11,200000,47742863,4189107.8,4189107.8,180.9,136.8,396.3,3040.9,134759.8,7.46,0,2281876,2300992,512,20271809
mt_churn,mars,arena,2,1,400000,39506503,10124915.4,5062457.7,141.8,119.1,306.8,2233.3,138872.0,7.46,0,5195822,5233520,1024,20261809
mt_churn,mars,arena,2,2,400000,46074644,8681564.6,4340782.3,160.0,129.7,356.5,2904.4,279770.1,7.46,0,5082206,5120240,1024,20262809
mt_churn,mars,arena,2,3,400000,47110974,8490590.7,4245295.4,162.4,127.6,365.1,2995.4,195163.1,7.46,0,4188236,4226048,1024,20263809
mt_churn,mars,arena,2,4,400000,40353409,9912421.5,4956210.8,145.0,119.1,333.8,2256.1,350859.1,7.46,0,5671871,5708976,1024,20264809
mt_churn,mars,arena,2,5,400000,39831845,10042216.2,5021108.1,141.1,120.5,286.9,2085.4,80940.1,7.46,0,4709843,4747920,1024,20265809
mt_churn,mars,arena,2,6,400000,58255599,6866292.8,3433146.4,210.4,177.4,433.3,7636.2,321814.3,7.46,0,4586736,4624976,1024,20266809
mt_churn,mars,arena,2,7,400000,52547287,7612191.3,3806095.6,188.7,144.0,410.5,3632.4,205270.8,7.46,0,5122741,5160416,1024,20267809
mt_churn,mars,arena,2,8,400000,53788919,7436475.9,3718238.0,198.7,181.6,404.9,2096.8,199368.5,7.46,0,4029760,4067520,1024,20268809
mt_churn,mars,arena,2,9,400000,42729503,9361213.5,4680606.7,145.0,124.1,298.2,2438.1,49112.4,7.46,0,4526458,4564368,1024,20269809
mt_churn,mars,arena,2,10,400000,44364632,9016191.1,4508095.5,152.5,125.5,356.5,2221.9,129576.9,7.46,0,5509169,5546592,1024,20270809
mt_churn,mars,arena,2,11,400000,41865907,9554313.5,4777156.7,141.8,120.5,301.1,2347.1,52144.4,7.46,0,4281082,4318928,1024,20271809
mt_churn,mars,arena,4,1,800000,53475213,14960202.2,3740050.6,178.8,134.0,396.3,2631.4,310638.1,7.46,0,9463970,9539024,2048,20261809
mt_churn,mars,arena,4,2,800000,53596710,14926289.3,3731572.3,186.6,139.7,404.9,2836.2,520224.1,7.46,0,11355225,11431168,2048,20262809
mt_churn,mars,arena,4,3,800000,59554642,13433041.9,3358260.5,210.4,205.8,421.9,2893.0,289605.9,7.46,0,9118976,9194416,2048,20263809
mt_churn,mars,arena,4,4,800000,54905020,14570616.7,3642654.2,192.7,158.2,407.7,2665.6,320150.0,7.46,0,10431390,10506784,2048,20264809
mt_churn,mars,arena,4,5,800000,51435419,15553484.7,3888371.2,166.7,130.5,387.8,2267.4,130486.8,7.46,0,11148237,11225040,2048,20265809
mt_churn,mars,arena,4,6,800000,68831469,11622590.8,2905647.7,221.8,224.3,424.8,2745.2,254226.8,7.46,0,9693111,9769472,2048,20266809
mt_churn,mars,arena,4,7,800000,80223295,9972165.8,2493041.5,265.2,207.2,436.1,3177.4,9275670.5,7.46,0,9888839,9963696,2048,20267809
mt_churn,mars,arena,4,8,800000,81933516,9764014.0,2441003.5,295.0,239.9,470.3,3700.6,10732062.2,7.46,0,8908539,8984528,2048,20268809
mt_churn,mars,arena,4,9,800000,98737419,8102298.1,2025574.5,354.0,215.8,484.5,4883.6,11279399.6,7.46,0,9776276,9851296,2048,20269809
mt_churn,mars,arena,4,10,800000,66455199,12038185.3,3009546.3,248.1,224.3,490.2,4587.8,2772536.9,7.46,0,10190183,10265264,2048,20270809
mt_churn,mars,arena,4,11,800000,69760262,11467846.8,2866961.7,249.5,214.3,484.5,3222.9,6097065.3,7.46,0,9967540,10043104,2048,20271809
mt_churn,mars,arena,8,1,1600000,95458641,16761185.6,2095148.2,351.5,257.0,512.9,8182.2,6039174.9,7.46,0,19445463,19596320,4096,20261809
