# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-25T07:41:25Z
# git_sha=5ae7712
# tsc_usable=1 tsc_flags_known=1 ns_per_tick=0.356550
# timer_overhead_ns=8.20
# profile=hardened metadata_bytes=24
# counters=on
# ops_per_thread=200000 arena=growable
workload,allocator,lock,threads,rep,ops,ns_total,ops_per_sec,ops_per_sec_per_thread,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,timer_overhead_ns,alloc_failures,peak_payload_bytes,peak_block_bytes,peak_blocks,seed
mt_churn,mars,global,1,1,200000,30284207,6604102.3,6604102.3,107.7,95.2,217.1,1378.1,126348.4,8.20,0,2728054,2746896,512,20261809
mt_churn,mars,global,1,2,200000,32577976,6139116.8,6139116.8,114.5,100.2,215.7,1714.6,66514.0,8.20,0,2622873,2641744,512,20262809
mt_churn,mars,global,1,3,200000,32983171,6063698.4,6063698.4,116.9,99.5,261.4,1771.7,176076.8,8.20,0,2252195,2271104,512,20263809
mt_churn,mars,global,1,4,200000,32106949,6229181.1,6229181.1,113.4,97.3,257.1,1612.0,145130.8,8.20,0,2894054,2912672,512,20264809
mt_churn,mars,global,1,5,200000,30262574,6608823.2,6608823.2,107.3,95.9,211.4,1395.2,66069.4,8.20,0,2069934,2088832,512,20265809
mt_churn,mars,global,1,6,200000,31629390,6323232.9,6323232.9,110.5,97.3,212.9,1554.9,41774.1,8.20,0,2630862,2649984,512,20266809
mt_churn,mars,global,1,7,200000,34254370,5838671.1,5838671.1,124.1,100.2,308.4,1908.6,51291.8,8.20,0,2734839,2753664,512,20267809
mt_churn,mars,global,1,8,200000,30767903,6500280.5,6500280.5,109.8,95.2,230.0,1691.8,80685.8,8.20,0,2253462,2272384,512,20268809
mt_churn,mars,global,1,9,200000,31853629,6278719.5,6278719.5,112.0,99.5,215.7,1566.3,65393.0,8.20,0,2595508,2614672,512,20269809
mt_churn,mars,global,1,10,200000,32923012,6074778.3,6074778.3,115.5,100.2,231.4,1669.0,51782.8,8.20,0,3010358,3028928,512,20270809
mt_churn,mars,global,1,11,200000,38657890,5173588.1,5173588.1,139.4,110.9,334.1,2844.2,84892.7,8.20,0,2281876,2300992,512,20271809
mt_churn,mars,global,2,1,400000,177588646,2252396.2,1126198.1,768.4,173.6,9165.1,38510.6,15854743.9,8.20,0,3079073,3116496,1023,20261809
mt_churn,mars,global,2,2,400000,132964505,3008321.7,1504160.8,592.2,172.9,7020.1,28287.6,4838412.8,8.20,0,3065419,3102752,1024,20262809
mt_churn,mars,global,2,3,400000,128121538,3122035.6,1561017.8,578.7,153.0,7339.6,28105.0,145859.2,8.20,0,2984128,3021872,1023,20263809
mt_churn,mars,global,2,4,400000,130918130,3055344.6,1527672.3,592.6,148.7,7385.2,30478.2,1158033.5,8.20,0,3533928,3570560,1024,20264809
mt_churn,mars,global,2,5,400000,133970598,2985729.7,1492864.9,605.1,162.9,7567.8,28652.7,170149.1,8.20,0,3383055,3420896,1023,20265809
mt_churn,mars,global,2,6,400000,135546149,2951024.5,1475512.2,611.1,151.5,7932.9,30113.1,167448.3,8.20,0,3281888,3319744,1024,20266809
mt_churn,mars,global,2,7,400000,142415735,2808678.4,1404339.2,645.7,167.9,8754.4,35407.2,148374.6,8.20,0,3330106,3367664,1024,20267809
mt_churn,mars,global,2,8,400000,135000620,2962949.4,1481474.7,609.7,159.4,7796.0,29565.5,266520.6,8.20,0,3241379,3278496,1024,20268809
mt_churn,mars,global,2,9,400000,127994236,3125140.7,1562570.4,562.6,148.0,7385.2,27922.5,316546.0,8.20,0,3214127,3252144,1023,20269809
mt_churn,mars,global,2,10,400000,140281724,2851404.9,1425702.5,629.7,162.2,8115.4,31391.0,248687.8,8.20,0,3627013,3663568,1023,20270809
mt_churn,mars,global,2,11,400000,129706952,3083874.8,1541937.4,581.2,153.0,7430.9,32303.8,480666.9,8.20,0,3675246,3711792,1023,20271809
mt_churn,mars,global,4,1,800000,441838702,1810615.5,452653.9,2117.2,322.7,30113.1,70822.6,632323.6,8.20,0,6421392,6495376,2047,20261809
mt_churn,mars,global,4,2,800000,453548611,1763868.3,440967.1,2175.0,335.5,30478.2,74473.6,636067.4,8.20,0,5663566,5737328,2048,20262809
mt_churn,mars,global,4,3,800000,452006631,1769885.5,442471.4,2157.1,299.9,31573.6,81410.7,2502572.9,8.20,0,5225710,5299072,2046,20263809
mt_churn,mars,global,4,4,800000,449664760,1779103.2,444775.8,2176.4,319.8,31391.0,79585.1,1976021.6,8.20,0,5085223,5159520,2047,20264809
mt_churn,mars,global,4,5,800000,421437251,1898266.0,474566.5,2029.1,297.0,29930.6,69362.1,578262.5,8.20,0,7428331,7502448,2047,20265809
mt_churn,mars,global,4,6,800000,430631009,1857739.0,464434.7,2086.9,345.5,29382.9,68997.0,866893.1,8.20,0,4108750,4182032,2047,20266809
mt_churn,mars,global,4,7,800000,459909738,1739471.8,434867.9,2218.5,319.8,32303.8,78854.9,1835796.2,8.20,0,6793797,6868560,2048,20267809
mt_churn,mars,global,4,8,800000,442128998,1809426.7,452356.7,2134.3,356.9,29930.6,72283.0,446116.2,8.20,0,4444269,4518352,2048,20268809
mt_churn,mars,global,4,9,800000,551918132,1449490.3,362372.6,2657.4,327.0,39971.0,119016.7,1585293.2,8.20,0,4724745,4798784,2047,20269809
mt_churn,mars,global,4,10,800000,503734952,1588136.8,397034.2,2441.7,365.5,34494.4,90538.3,1120729.8,8.20,0,6199667,6272704,2046,20270809
mt_churn,mars,global,4,11,800000,462930997,1728119.3,432029.8,2211.7,309.8,32486.3,74838.7,1228030.7,8.20,0,5155409,5230000,2047,20271809
mt_churn,mars,global,8,1,1600000,1590925470,1005703.9,125713.0,7794.5,824.7,91268.6,211753.9,1950338.2,8.20,0,7921281,8067568,4094,20261809
mt_churn,mars,global,8,2,1600000,1584085760,1010046.3,126255.8,7596.7,727.7,88712.8,233660.3,19214197.3,8.20,0,8782266,8926096,4094,20262809
mt_churn,mars,global,8,3,1600000,1609532338,994077.6,124259.7,7759.2,710.6,94189.4,252645.9,54017251.8,8.20,0,7569616,7713984,4093,20263809
mt_churn,mars,global,8,4,1600000,1523354811,1050313.4,131289.2,7446.2,824.7,91633.7,233660.3,2559240.4,8.20,0,7961702,8109024,4094,20264809
mt_churn,mars,global,8,5,1600000,1681406520,951584.3,118948.0,8229.5,893.2,95649.8,221976.9,1929430.1,8.20,0,7988151,8133696,4092,20265809
mt_churn,mars,global,8,6,1600000,1869065645,856042.7,107005.3,9124.1,813.3,121937.5,341732.0,14754461.5,8.20,0,7193724,7339248,4094,20266809
mt_churn,mars,global,8,7,1600000,1857435730,861402.6,107675.3,9038.5,807.6,121937.5,376782.2,8880808.4,8.20,0,7735083,7880720,4094,20267809
mt_churn,mars,global,8,8,1600000,1851010186,864392.9,108049.1,9013.6,961.6,106603.0,258487.6,14889991.4,8.20,0,8547165,8693152,4094,20268809
mt_churn,mars,global,8,9,1600000,1747165442,915769.0,114471.1,8514.8,921.7,108793.7,289156.6,2781403.4,8.20,0,9170206,9317008,4094,20269809
mt_churn,mars,global,8,10,1600000,1934565445,827059.1,103382.4,9435.4,722.0,141653.3,458566.2,6008450.6,8.20,0,9970640,10117072,4095,20270809
mt_churn,mars,global,8,11,1600000,1790415060,893647.5,111705.9,8699.5,673.5,138732.5,467328.8,6520087.1,8.20,0,7842072,7988192,4091,20271809
mt_churn,system,global,1,1,200000,14734683,13573417.2,13573417.2,33.9,19.3,269.9,744.8,104703.0,8.20,0,0,0,0,20261809
mt_churn,system,global,1,2,200000,10644793,18788528.8,18788528.8,22.5,13.2,198.6,488.1,53632.6,8.20,0,0,0,0,20262809
mt_churn,system,global,1,3,200000,10998035,18185066.7,18185066.7,22.5,13.2,201.5,539.5,52125.4,8.20,0,0,0,0,20263809
mt_churn,system,global,1,4,200000,10256570,19499696.3,19499696.3,20.3,12.8,188.6,553.7,45408.8,8.20,0,0,0,0,20264809
mt_churn,system,global,1,5,200000,11123735,17979572.5,17979572.5,20.7,12.8,192.9,482.4,78400.3,8.20,0,0,0,0,20265809
mt_churn,system,global,1,6,200000,10303306,19411245.3,19411245.3,21.4,12.5,185.8,510.9,40374.3,8.20,0,0,0,0,20266809
mt_churn,system,global,1,7,200000,11465256,17444006.5,17444006.5,21.7,12.1,187.2,519.5,100665.8,8.20,0,0,0,0,20267809
mt_churn,system,global,1,8,200000,11166605,17910546.7,17910546.7,21.4,12.5,185.8,502.4,69261.9,8.20,0,0,0,0,20268809
mt_churn,system,global,1,9,200000,10160922,19683253.2,19683253.2,20.7,11.8,188.6,488.1,55592.2,8.20,0,0,0,0,20269809
mt_churn,system,global,1,10,200000,9851675,20301116.3,20301116.3,19.3,11.4,173.6,488.1,123393.0,8.20,0,0,0,0,20270809
mt_churn,system,global,1,11,200000,9824862,20356520.0,20356520.0,19.6,11.4,178.6,439.6,59468.2,8.20,0,0,0,0,20271809
mt_churn,system,global,2,1,400000,14784593,27055191.8,13527595.9,23.5,11.8,180.1,522.3,247503.7,8.20,0,0,0,0,20261809
mt_churn,system,global,2,2,400000,14666442,27273145.0,13636572.5,23.9,12.5,185.8,482.4,34428.5,8.20,0,0,0,0,20262809
mt_churn,system,global,2,3,400000,14575590,27443143.0,13721571.5,24.2,11.8,187.2,590.8,56398.3,8.20,0,0,0,0,20263809
mt_churn,system,global,2,4,400000,14676161,27255083.9,13627542.0,23.2,11.4,184.3,550.9,47141.2,8.20,0,0,0,0,20264809
mt_churn,system,global,2,5,400000,14199287,28170428.6,14085214.3,22.1,11.4,172.9,445.3,32588.3,8.20,0,0,0,0,20265809
mt_churn,system,global,2,6,400000,16389595,24405728.1,12202864.1,31.0,20.7,231.4,570.8,141931.8,8.20,0,0,0,0,20266809
mt_churn,system,global,2,7,400000,15174306,26360348.9,13180174.4,27.8,14.3,204.3,682.1,54548.9,8.20,0,0,0,0,20267809
